feature_index,SPI-1,SPI-2,ks_statistic,n_CML,n_Kuramoto
0,cov_EmpiricalCovariance,cov_GraphicalLasso,0.9090911712094902,241,241
1,cov_EmpiricalCovariance,cov_GraphicalLassoCV,0.03146672110971632,241,241
2,cov_EmpiricalCovariance,cov_LedoitWolf,0.04564315352697095,241,241
3,cov_EmpiricalCovariance,cov_OAS,0.08713692946058091,241,241
4,cov_EmpiricalCovariance,cov_ShrunkCovariance,0.12033195020746888,241,241
5,cov_EmpiricalCovariance,cov-sq_EmpiricalCovariance,0.639301071654323,241,241
6,cov_EmpiricalCovariance,cov-sq_GraphicalLasso,0.570893189408088,241,241
7,cov_EmpiricalCovariance,cov-sq_LedoitWolf,0.639301071654323,241,241
8,cov_EmpiricalCovariance,cov-sq_OAS,0.639301071654323,241,241
9,cov_EmpiricalCovariance,cov-sq_ShrunkCovariance,0.639301071654323,241,241
10,cov_EmpiricalCovariance,prec_EmpiricalCovariance,0.6821124674450851,241,241
11,cov_EmpiricalCovariance,prec_GraphicalLasso,0.4097064450179706,241,241
12,cov_EmpiricalCovariance,prec_LedoitWolf,0.35385343108085376,241,241
13,cov_EmpiricalCovariance,prec_OAS,0.31886468267759016,241,241
14,cov_EmpiricalCovariance,prec_ShrunkCovariance,0.14463654197041526,241,241
15,cov_EmpiricalCovariance,prec-sq_EmpiricalCovariance,0.5493705196163265,241,241
16,cov_EmpiricalCovariance,prec-sq_GraphicalLasso,0.5834410720431171,241,241
17,cov_EmpiricalCovariance,prec-sq_LedoitWolf,0.6488674300463472,241,241
18,cov_EmpiricalCovariance,prec-sq_OAS,0.6510696609859572,241,241
19,cov_EmpiricalCovariance,prec-sq_ShrunkCovariance,0.6648078767551897,241,241
20,cov_EmpiricalCovariance,spearmanr-sq,0.6480324195835434,241,241
21,cov_EmpiricalCovariance,spearmanr,0.30511394137197373,241,241
22,cov_EmpiricalCovariance,kendalltau-sq,0.6660302645385048,241,241
23,cov_EmpiricalCovariance,kendalltau,0.15652928875889155,241,241
24,cov_EmpiricalCovariance,xcorr_max_sig-True,0.168324262370655,241,241
25,cov_EmpiricalCovariance,xcorr-sq_max_sig-True,0.4984819419038264,241,241
26,cov_EmpiricalCovariance,xcorr_mean_sig-True,0.4490242886213637,241,241
27,cov_EmpiricalCovariance,xcorr-sq_mean_sig-True,0.4995508264353416,241,241
28,cov_EmpiricalCovariance,xcorr_mean_sig-False,0.06759383244558262,241,241
29,cov_EmpiricalCovariance,xcorr-sq_mean_sig-False,0.4890382676032643,241,241
30,cov_EmpiricalCovariance,pdist_euclidean,0.06224066390041494,241,241
31,cov_EmpiricalCovariance,pdist_cityblock,0.6586923819600878,241,241
32,cov_EmpiricalCovariance,pdist_cosine,0.07468879668049792,241,241
33,cov_EmpiricalCovariance,pdist_chebyshev,0.12866541787398877,241,241
34,cov_EmpiricalCovariance,pdist_canberra,0.6064987522144252,241,241
35,cov_EmpiricalCovariance,pdist_braycurtis,0.5266775113586626,241,241
36,cov_EmpiricalCovariance,dcorr,0.5535291156288316,241,241
37,cov_EmpiricalCovariance,dcorr_biased,0.55443082237848,241,241
38,cov_EmpiricalCovariance,dcorrx_maxlag-1,0.5334142461085717,241,241
39,cov_EmpiricalCovariance,dcorrx_maxlag-10,0.5278495650060968,241,241
40,cov_EmpiricalCovariance,hsic,0.539921252600025,241,241
41,cov_EmpiricalCovariance,hsic_biased,0.5407473565556076,241,241
42,cov_EmpiricalCovariance,bary_euclidean_mean,0.0995850622406639,241,241
43,cov_EmpiricalCovariance,bary_euclidean_max,0.06637649385302175,241,241
44,cov_EmpiricalCovariance,bary-sq_euclidean_mean,0.07468879668049792,241,241
45,cov_EmpiricalCovariance,bary-sq_euclidean_max,0.46841640303124926,241,241
46,cov_EmpiricalCovariance,gwtau,0.35213998321990153,241,241
47,cov_EmpiricalCovariance,anm,0.48547015903296414,241,241
48,cov_EmpiricalCovariance,cds,0.39366632338125274,241,241
49,cov_EmpiricalCovariance,reci,0.3965598435448414,241,241
50,cov_EmpiricalCovariance,igci,0.08713692946058091,241,241
51,cov_EmpiricalCovariance,je_gaussian,0.6393010716543235,241,241
52,cov_EmpiricalCovariance,je_kozachenko,0.39969499282916743,241,241
53,cov_EmpiricalCovariance,je_kernel_W-0.5,0.46135524782848547,241,241
54,cov_EmpiricalCovariance,ce_gaussian,0.6393010716543235,241,241
55,cov_EmpiricalCovariance,ce_kernel_W-0.5,0.47161365993253174,241,241
56,cov_EmpiricalCovariance,cce_gaussian,0.6680497925311203,241,241
57,cov_EmpiricalCovariance,cce_kozachenko,0.44451155018730176,241,241
58,cov_EmpiricalCovariance,cce_kernel_W-0.5,0.20037894656249816,241,241
59,cov_EmpiricalCovariance,xme_gaussian_k1,0.3472385457427954,241,241
60,cov_EmpiricalCovariance,xme_kozachenko_k1,0.3641408826527416,241,241
61,cov_EmpiricalCovariance,xme_kernel_W-0.5_k1,0.31458580893109855,241,241
62,cov_EmpiricalCovariance,xme_gaussian_k10,0.6556016597510373,241,241
63,cov_EmpiricalCovariance,xme_kozachenko_k10,0.13103691825727581,241,241
64,cov_EmpiricalCovariance,xme_kernel_W-0.5_k10,0.2785475100513314,241,241
65,cov_EmpiricalCovariance,di_gaussian,0.8298755186721992,241,241
