feature_index,SPI-1,SPI-2,ks_statistic,n_CML,n_VAR(1)
0,cov_EmpiricalCovariance,cov_GraphicalLasso,0.530539908224787,241,240
1,cov_EmpiricalCovariance,cov_GraphicalLassoCV,0.829916135302185,241,240
2,cov_EmpiricalCovariance,cov_LedoitWolf,0.08205394190871369,241,240
3,cov_EmpiricalCovariance,cov_OAS,0.07327109266943292,241,240
4,cov_EmpiricalCovariance,cov_ShrunkCovariance,0.07244121715076073,241,240
5,cov_EmpiricalCovariance,cov-sq_EmpiricalCovariance,0.6524196288748982,241,240
6,cov_EmpiricalCovariance,cov-sq_GraphicalLasso,0.6554281481155124,241,240
7,cov_EmpiricalCovariance,cov-sq_LedoitWolf,0.6524196288748982,241,240
8,cov_EmpiricalCovariance,cov-sq_OAS,0.6524196288748982,241,240
9,cov_EmpiricalCovariance,cov-sq_ShrunkCovariance,0.6524196288748982,241,240
10,cov_EmpiricalCovariance,prec_EmpiricalCovariance,0.12098587793596272,241,240
11,cov_EmpiricalCovariance,prec_GraphicalLasso,0.11292093105241563,241,240
12,cov_EmpiricalCovariance,prec_LedoitWolf,0.1465330569985961,241,240
13,cov_EmpiricalCovariance,prec_OAS,0.15349144059410347,241,240
14,cov_EmpiricalCovariance,prec_ShrunkCovariance,0.15074025416720416,241,240
15,cov_EmpiricalCovariance,prec-sq_EmpiricalCovariance,0.23381436219178708,241,240
16,cov_EmpiricalCovariance,prec-sq_GraphicalLasso,0.25593632121352883,241,240
17,cov_EmpiricalCovariance,prec-sq_LedoitWolf,0.2359716210655145,241,240
18,cov_EmpiricalCovariance,prec-sq_OAS,0.2369183447226338,241,240
19,cov_EmpiricalCovariance,prec-sq_ShrunkCovariance,0.2802246409334335,241,240
20,cov_EmpiricalCovariance,spearmanr-sq,0.6229058974537854,241,240
21,cov_EmpiricalCovariance,spearmanr,0.26292088089800547,241,240
22,cov_EmpiricalCovariance,kendalltau-sq,0.6354153186587602,241,240
23,cov_EmpiricalCovariance,kendalltau,0.06797078934925876,241,240
24,cov_EmpiricalCovariance,xcorr_max_sig-True,0.7889522623980926,241,240
25,cov_EmpiricalCovariance,xcorr-sq_max_sig-True,0.6509041926684687,241,240
26,cov_EmpiricalCovariance,xcorr_mean_sig-True,0.1536794233545134,241,240
27,cov_EmpiricalCovariance,xcorr-sq_mean_sig-True,0.2028096866276547,241,240
28,cov_EmpiricalCovariance,xcorr_mean_sig-False,0.10622710264500551,241,240
29,cov_EmpiricalCovariance,xcorr-sq_mean_sig-False,0.19549288521664088,241,240
30,cov_EmpiricalCovariance,pdist_euclidean,0.06701244813278008,241,240
31,cov_EmpiricalCovariance,pdist_cityblock,0.5514405450647215,241,240
32,cov_EmpiricalCovariance,pdist_cosine,0.08120677731673583,241,240
33,cov_EmpiricalCovariance,pdist_chebyshev,0.5343144617009357,241,240
34,cov_EmpiricalCovariance,pdist_canberra,0.5817584692483087,241,240
35,cov_EmpiricalCovariance,pdist_braycurtis,0.49314040826962935,241,240
36,cov_EmpiricalCovariance,dcorr,0.653294154685513,241,240
37,cov_EmpiricalCovariance,dcorr_biased,0.6531519344312997,241,240
38,cov_EmpiricalCovariance,dcorrx_maxlag-1,0.6556948080259275,241,240
39,cov_EmpiricalCovariance,dcorrx_maxlag-10,0.5796303016078064,241,240
40,cov_EmpiricalCovariance,hsic,0.6415392663155421,241,240
41,cov_EmpiricalCovariance,hsic_biased,0.6410428463792118,241,240
42,cov_EmpiricalCovariance,bary_euclidean_mean,0.09806362378976487,241,240
43,cov_EmpiricalCovariance,bary_euclidean_max,0.020383457084315812,241,240
44,cov_EmpiricalCovariance,bary-sq_euclidean_mean,0.09031811894882434,241,240
45,cov_EmpiricalCovariance,bary-sq_euclidean_max,0.3970787352871769,241,240
46,cov_EmpiricalCovariance,gwtau,0.10859524233533491,241,240
47,cov_EmpiricalCovariance,anm,0.09468841105893677,241,240
48,cov_EmpiricalCovariance,cds,0.1397396381653424,241,240
49,cov_EmpiricalCovariance,reci,0.057091055577502714,241,240
50,cov_EmpiricalCovariance,igci,0.09332641770401107,241,240
51,cov_EmpiricalCovariance,je_gaussian,0.6524196288748993,241,240
52,cov_EmpiricalCovariance,je_kozachenko,0.39318506645880724,241,240
53,cov_EmpiricalCovariance,je_kernel_W-0.5,0.6273664239943916,241,240
54,cov_EmpiricalCovariance,ce_gaussian,0.6524196288748993,241,240
55,cov_EmpiricalCovariance,ce_kernel_W-0.5,0.6480480016146869,241,240
56,cov_EmpiricalCovariance,cce_gaussian,0.10414636334043526,241,240
57,cov_EmpiricalCovariance,cce_kozachenko,0.17642848521714297,241,240
58,cov_EmpiricalCovariance,cce_kernel_W-0.5,0.04945107103986135,241,240
59,cov_EmpiricalCovariance,xme_gaussian_k1,0.3175289977531884,241,240
60,cov_EmpiricalCovariance,xme_kozachenko_k1,0.07344833577920651,241,240
61,cov_EmpiricalCovariance,xme_kernel_W-0.5_k1,0.2357558088495587,241,240
62,cov_EmpiricalCovariance,xme_gaussian_k10,0.2185402968742483,241,240
63,cov_EmpiricalCovariance,xme_kozachenko_k10,0.1716222187421771,241,240
64,cov_EmpiricalCovariance,xme_kernel_W-0.5_k10,0.17913296541256335,241,240
65,cov_EmpiricalCovariance,di_gaussian,0.5532441445803555,241,240
66,cov_EmpiricalCovariance,di_kozachenko,0.7263323108588435,241,240
67,cov_EmpiricalCovariance,di_kernel_W-0.5,0.25943709680963484,241,240
68,cov_EmpiricalCovariance,si_gaussian_k-1,0.59677031635182,241,240
69,cov_EmpiricalCovariance,si_kozachenko_k-1,0.0996185469316615,241,240
70,cov_EmpiricalCovariance,si_kernel_W-0.5_k-1,0.27156611844866024,241,240
71,cov_EmpiricalCovariance,mi_gaussian,0.6524196288748982,241,240
72,cov_EmpiricalCovariance,mi_kraskov_NN-4,0.5933283196271073,241,240
73,cov_EmpiricalCovariance,mi_kraskov_NN-4_DCE,0.607767568958894,241,240
74,cov_EmpiricalCovariance,mi_kernel_W-0.25,0.6333580344156566,241,240
75,cov_EmpiricalCovariance,tlmi_gaussian,0.7245859186255132,241,240
76,cov_EmpiricalCovariance,tlmi_kraskov_NN-4,0.6293247070671224,241,240
77,cov_EmpiricalCovariance,tlmi_kraskov_NN-4_DCE,0.6415819081078614,241,240
78,cov_EmpiricalCovariance,tlmi_kernel_W-0.25,0.6648978619680321,241,240
79,cov_EmpiricalCovariance,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.6636976992507435,241,240
80,cov_EmpiricalCovariance,gc_gaussian_k-1_kt-1_l-1_lt-1,0.8529591705553775,241,240
81,cov_EmpiricalCovariance,phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.08375044438683604,241,240
82,cov_EmpiricalCovariance,phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.07995265029308568,241,240
83,cov_EmpiricalCovariance,phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.07747233748271093,241,240
84,cov_EmpiricalCovariance,phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.15769812931390137,241,240
85,cov_EmpiricalCovariance,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.046815154040624474,241,240
86,cov_EmpiricalCovariance,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.32848332748415454,241,240
