feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_CauchyNoise
0,cov_EmpiricalCovariance,cov_EllipticEnvelope,0.9969390770898943,96,96
1,cov_EmpiricalCovariance,cov_GraphicalLasso,0.997165614021021,96,96
2,cov_EmpiricalCovariance,cov_GraphicalLassoCV,0.03932621182191576,96,96
3,cov_EmpiricalCovariance,cov_LedoitWolf,0.019556312205534554,96,96
4,cov_EmpiricalCovariance,cov_MinCovDet,0.9966206047854563,96,96
5,cov_EmpiricalCovariance,cov_OAS,0.875,96,96
6,cov_EmpiricalCovariance,cov_ShrunkCovariance,0.09375,96,96
7,cov_EmpiricalCovariance,cov-sq_EmpiricalCovariance,0.08959220226350018,96,96
8,cov_EmpiricalCovariance,cov-sq_EllipticEnvelope,0.08403049550473995,96,96
9,cov_EmpiricalCovariance,cov-sq_GraphicalLasso,0.0885325193852079,96,96
10,cov_EmpiricalCovariance,cov-sq_GraphicalLassoCV,0.0851925826501505,96,96
11,cov_EmpiricalCovariance,cov-sq_LedoitWolf,0.021926528184076033,96,96
12,cov_EmpiricalCovariance,cov-sq_MinCovDet,0.09760992998436374,96,96
13,cov_EmpiricalCovariance,cov-sq_OAS,0.27678965940460676,96,96
14,cov_EmpiricalCovariance,cov-sq_ShrunkCovariance,0.08959220226350018,96,96
15,cov_EmpiricalCovariance,prec_EmpiricalCovariance,0.9785300976292417,96,96
16,cov_EmpiricalCovariance,prec_EllipticEnvelope,0.9972333443678347,96,96
17,cov_EmpiricalCovariance,prec_GraphicalLasso,0.9535999562919878,96,96
18,cov_EmpiricalCovariance,prec_GraphicalLassoCV,0.05587713884195045,96,96
19,cov_EmpiricalCovariance,prec_LedoitWolf,0.016644112179612314,96,96
20,cov_EmpiricalCovariance,prec_MinCovDet,0.9964849664335618,96,96
21,cov_EmpiricalCovariance,prec_OAS,0.7847736215551341,96,96
22,cov_EmpiricalCovariance,prec_ShrunkCovariance,0.9441506079034664,96,96
23,cov_EmpiricalCovariance,prec-sq_EmpiricalCovariance,0.044898481202350515,96,96
24,cov_EmpiricalCovariance,prec-sq_EllipticEnvelope,0.07244895097331433,96,96
25,cov_EmpiricalCovariance,prec-sq_GraphicalLasso,0.04758849821444866,96,96
26,cov_EmpiricalCovariance,prec-sq_GraphicalLassoCV,0.14211278935021304,96,96
27,cov_EmpiricalCovariance,prec-sq_LedoitWolf,0.34698745552015225,96,96
28,cov_EmpiricalCovariance,prec-sq_MinCovDet,0.07718596168459635,96,96
29,cov_EmpiricalCovariance,prec-sq_OAS,0.20329212977302752,96,96
30,cov_EmpiricalCovariance,prec-sq_ShrunkCovariance,0.07840110712960988,96,96
