feature_index,SPI-1,SPI-2,ks_statistic,n_MackeyGlass,n_VAR(1)-Unidirectional
0,cov_EmpiricalCovariance,cov_EllipticEnvelope,0.8939725882020587,96,96
1,cov_EmpiricalCovariance,cov_GraphicalLasso,0.9620132798053334,96,96
2,cov_EmpiricalCovariance,cov_GraphicalLassoCV,0.8198504602359341,96,96
3,cov_EmpiricalCovariance,cov_LedoitWolf,0.15625,96,96
4,cov_EmpiricalCovariance,cov_MinCovDet,0.8971064864678272,96,96
5,cov_EmpiricalCovariance,cov_OAS,0.125,96,96
6,cov_EmpiricalCovariance,cov_ShrunkCovariance,0.125,96,96
7,cov_EmpiricalCovariance,cov-sq_EmpiricalCovariance,0.1710194202206946,96,96
8,cov_EmpiricalCovariance,cov-sq_EllipticEnvelope,0.30212599339542195,96,96
9,cov_EmpiricalCovariance,cov-sq_GraphicalLasso,0.27709960577069104,96,96
10,cov_EmpiricalCovariance,cov-sq_GraphicalLassoCV,0.18466223518536207,96,96
11,cov_EmpiricalCovariance,cov-sq_LedoitWolf,0.1710194202206946,96,96
12,cov_EmpiricalCovariance,cov-sq_MinCovDet,0.3164483181037051,96,96
13,cov_EmpiricalCovariance,cov-sq_OAS,0.1710194202206946,96,96
14,cov_EmpiricalCovariance,cov-sq_ShrunkCovariance,0.1710194202206946,96,96
15,cov_EmpiricalCovariance,prec_EmpiricalCovariance,0.9999987048333251,96,96
16,cov_EmpiricalCovariance,prec_EllipticEnvelope,0.9999926413145243,96,96
17,cov_EmpiricalCovariance,prec_GraphicalLasso,0.9194444602534225,96,96
18,cov_EmpiricalCovariance,prec_GraphicalLassoCV,0.1150687232686809,96,96
19,cov_EmpiricalCovariance,prec_LedoitWolf,0.8530965078206367,96,96
20,cov_EmpiricalCovariance,prec_MinCovDet,0.9999813773359109,96,96
21,cov_EmpiricalCovariance,prec_OAS,0.8340808591097588,96,96
22,cov_EmpiricalCovariance,prec_ShrunkCovariance,0.6514533361360977,96,96
23,cov_EmpiricalCovariance,prec-sq_EmpiricalCovariance,0.09017585393398578,96,96
24,cov_EmpiricalCovariance,prec-sq_EllipticEnvelope,0.1985259415780179,96,96
25,cov_EmpiricalCovariance,prec-sq_GraphicalLasso,0.23457287301719104,96,96
26,cov_EmpiricalCovariance,prec-sq_GraphicalLassoCV,0.21607130430598376,96,96
27,cov_EmpiricalCovariance,prec-sq_LedoitWolf,0.2792771307656095,96,96
28,cov_EmpiricalCovariance,prec-sq_MinCovDet,0.19985896816426252,96,96
29,cov_EmpiricalCovariance,prec-sq_OAS,0.29414957787980217,96,96
30,cov_EmpiricalCovariance,prec-sq_ShrunkCovariance,0.3558124359493002,96,96
31,cov_EmpiricalCovariance,spearmanr-sq,0.17243724783010628,96,96
32,cov_EmpiricalCovariance,spearmanr,0.15109823253578114,96,96
33,cov_EmpiricalCovariance,kendalltau-sq,0.1689180987519049,96,96
34,cov_EmpiricalCovariance,kendalltau,0.19094172319933045,96,96
35,cov_EmpiricalCovariance,xcorr_max_sig-True,0.33707668302350374,96,96
36,cov_EmpiricalCovariance,xcorr-sq_max_sig-True,0.2901242759065533,96,96
37,cov_EmpiricalCovariance,xcorr_mean_sig-True,0.1968186245799114,96,96
38,cov_EmpiricalCovariance,xcorr-sq_mean_sig-True,0.21841989566912512,96,96
39,cov_EmpiricalCovariance,xcorr_mean_sig-False,0.15376461324396917,96,96
40,cov_EmpiricalCovariance,xcorr-sq_mean_sig-False,0.278039667470935,96,96
41,cov_EmpiricalCovariance,pdist_euclidean,0.08333333333333333,96,96
42,cov_EmpiricalCovariance,pdist_cityblock,0.5489245394147672,96,96
43,cov_EmpiricalCovariance,pdist_cosine,0.16666666666666666,96,96
44,cov_EmpiricalCovariance,pdist_chebyshev,0.9539391829062075,96,96
45,cov_EmpiricalCovariance,pdist_canberra,0.5958312747299395,96,96
46,cov_EmpiricalCovariance,pdist_braycurtis,0.32419843160979617,96,96
47,cov_EmpiricalCovariance,di_gaussian,1.0,96,96
48,cov_EmpiricalCovariance,di_kozachenko,0.5468829002512722,96,96
49,cov_EmpiricalCovariance,di_kernel_W-0.5,0.7219410805622253,96,96
50,cov_EmpiricalCovariance,mi_gaussian,0.1710194202206946,96,96
51,cov_EmpiricalCovariance,mi_kraskov_NN-4,0.5090251928151124,96,96
