feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1)-Symmetric,n_VAR(1)-Unidirectional
0,xcorr_max_sig-True,xcorr-sq_max_sig-True,0.820084047033696,96,96
1,xcorr_max_sig-True,xcorr_mean_sig-True,0.2702349718560124,96,96
2,xcorr_max_sig-True,xcorr-sq_mean_sig-True,0.3819580846162819,96,96
3,xcorr_max_sig-True,xcorr_mean_sig-False,0.10714086016942861,96,96
4,xcorr_max_sig-True,xcorr-sq_mean_sig-False,0.1561805673172667,96,96
5,xcorr_max_sig-True,je_gaussian,0.826045284301463,96,96
6,xcorr_max_sig-True,je_kozachenko,0.9462372433919812,96,96
7,xcorr_max_sig-True,je_kernel_W-0.5,0.8609885113214638,96,96
8,xcorr_max_sig-True,ce_gaussian,0.826045284301463,96,96
9,xcorr_max_sig-True,ce_kozachenko,0.9471600453272417,96,96
10,xcorr_max_sig-True,ce_kernel_W-0.5,0.870529691905815,96,96
11,xcorr_max_sig-True,cce_gaussian__ij,0.3892369015822382,96,96
12,xcorr_max_sig-True,cce_gaussian__ji,0.11760155407066891,96,96
13,xcorr_max_sig-True,cce_kozachenko__ij,0.549306607318053,96,96
14,xcorr_max_sig-True,cce_kozachenko__ji,0.10412883496434039,96,96
15,xcorr_max_sig-True,cce_kernel_W-0.5__ij,0.5921364664689373,96,96
16,xcorr_max_sig-True,cce_kernel_W-0.5__ji,0.1281766353198852,96,96
17,xcorr_max_sig-True,di_gaussian__ij,0.639040037026574,96,96
18,xcorr_max_sig-True,di_gaussian__ji,0.13471274968837954,96,96
19,xcorr_max_sig-True,di_kozachenko__ij,0.7263253314671463,96,96
20,xcorr_max_sig-True,di_kozachenko__ji,0.1343291651748139,96,96
21,xcorr_max_sig-True,di_kernel_W-0.5__ij,0.6102987959879685,96,96
22,xcorr_max_sig-True,di_kernel_W-0.5__ji,0.15418970678513233,96,96
23,xcorr_max_sig-True,mi_gaussian,0.8260452843014628,96,96
24,xcorr_max_sig-True,mi_kraskov_NN-4,0.9217167419516566,96,96
25,xcorr_max_sig-True,mi_kraskov_NN-4_DCE,0.930812526039854,96,96
26,xcorr_max_sig-True,mi_kernel_W-0.25,0.8739351202601634,96,96
27,xcorr_max_sig-True,tlmi_gaussian__ij,0.846670113978867,96,96
28,xcorr_max_sig-True,tlmi_gaussian__ji,0.1467693355748333,96,96
29,xcorr_max_sig-True,tlmi_kraskov_NN-4__ij,0.885299525696909,96,96
30,xcorr_max_sig-True,tlmi_kraskov_NN-4__ji,0.17992377075110313,96,96
31,xcorr_max_sig-True,tlmi_kraskov_NN-4_DCE__ij,0.9129048417385164,96,96
32,xcorr_max_sig-True,tlmi_kraskov_NN-4_DCE__ji,0.17929055661422807,96,96
33,xcorr_max_sig-True,tlmi_kernel_W-0.25__ij,0.859781414138786,96,96
34,xcorr_max_sig-True,tlmi_kernel_W-0.25__ji,0.2179966611014103,96,96
35,xcorr_max_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4__ij,0.18781761334554908,96,96
36,xcorr_max_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4__ji,0.1382562570678076,96,96
37,xcorr_max_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4__ij,0.3788591281533397,96,96
38,xcorr_max_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4__ji,0.22131712524399325,96,96
39,xcorr_max_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1__ij,0.402203626979738,96,96
40,xcorr_max_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1__ji,0.09189553079815088,96,96
41,xcorr_max_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1__ij,0.49275340285408664,96,96
42,xcorr_max_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1__ji,0.09601033795934794,96,96
43,xcorr_max_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1__ij,0.37329632254237605,96,96
44,xcorr_max_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1__ji,0.07396865125573493,96,96
45,xcorr_max_sig-True,te_kernel_W-0.25_k-1__ij,0.21301993136593733,96,96
46,xcorr_max_sig-True,te_kernel_W-0.25_k-1__ji,0.04358016066588999,96,96
47,xcorr_max_sig-True,gc_gaussian_k-max-10_tau-max-2__ij,0.6687653664153168,96,96
48,xcorr_max_sig-True,gc_gaussian_k-max-10_tau-max-2__ji,0.156296637424232,96,96
49,xcorr_max_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1__ij,0.8710808332154905,96,96
50,xcorr_max_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1__ji,0.24339816384105994,96,96
51,xcorr_max_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1__ij,0.8710808332154905,96,96
52,xcorr_max_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1__ji,0.24339816384105994,96,96
53,xcorr_max_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1__ij,0.7073229127186735,96,96
54,xcorr_max_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1__ji,0.2289679579277989,96,96
55,xcorr-sq_max_sig-True,xcorr_mean_sig-True,0.10612326590659722,96,96
56,xcorr-sq_max_sig-True,xcorr-sq_mean_sig-True,0.4778743154566582,96,96
57,xcorr-sq_max_sig-True,xcorr_mean_sig-False,0.11022229918615933,96,96
58,xcorr-sq_max_sig-True,xcorr-sq_mean_sig-False,0.22728491705240678,96,96
59,xcorr-sq_max_sig-True,je_gaussian,0.8155929674072797,96,96
60,xcorr-sq_max_sig-True,je_kozachenko,0.9481461558026487,96,96
61,xcorr-sq_max_sig-True,je_kernel_W-0.5,0.8524135827261851,96,96
62,xcorr-sq_max_sig-True,ce_gaussian,0.8155929674072797,96,96
63,xcorr-sq_max_sig-True,ce_kozachenko,0.9514509439109261,96,96
64,xcorr-sq_max_sig-True,ce_kernel_W-0.5,0.8635202309315317,96,96
65,xcorr-sq_max_sig-True,cce_gaussian__ij,0.37671371418683924,96,96
66,xcorr-sq_max_sig-True,cce_gaussian__ji,0.0911224055882196,96,96
67,xcorr-sq_max_sig-True,cce_kozachenko__ij,0.555088986115945,96,96
68,xcorr-sq_max_sig-True,cce_kozachenko__ji,0.08818000609898041,96,96
69,xcorr-sq_max_sig-True,cce_kernel_W-0.5__ij,0.5657572353171316,96,96
70,xcorr-sq_max_sig-True,cce_kernel_W-0.5__ji,0.11057183855094727,96,96
71,xcorr-sq_max_sig-True,di_gaussian__ij,0.6325024509936434,96,96
72,xcorr-sq_max_sig-True,di_gaussian__ji,0.08865711697176681,96,96
73,xcorr-sq_max_sig-True,di_kozachenko__ij,0.7220663233136567,96,96
74,xcorr-sq_max_sig-True,di_kozachenko__ji,0.1169585847266828,96,96
75,xcorr-sq_max_sig-True,di_kernel_W-0.5__ij,0.612019124485806,96,96
76,xcorr-sq_max_sig-True,di_kernel_W-0.5__ji,0.1719522866706945,96,96
77,xcorr-sq_max_sig-True,mi_gaussian,0.8155929674072794,96,96
78,xcorr-sq_max_sig-True,mi_kraskov_NN-4,0.9396991632581645,96,96
79,xcorr-sq_max_sig-True,mi_kraskov_NN-4_DCE,0.9455898185906734,96,96
80,xcorr-sq_max_sig-True,mi_kernel_W-0.25,0.8583275786515167,96,96
81,xcorr-sq_max_sig-True,tlmi_gaussian__ij,0.8395997132054918,96,96
82,xcorr-sq_max_sig-True,tlmi_gaussian__ji,0.12964335961863588,96,96
83,xcorr-sq_max_sig-True,tlmi_kraskov_NN-4__ij,0.8778192841205859,96,96
84,xcorr-sq_max_sig-True,tlmi_kraskov_NN-4__ji,0.17227562786106657,96,96
85,xcorr-sq_max_sig-True,tlmi_kraskov_NN-4_DCE__ij,0.9060561524888986,96,96
86,xcorr-sq_max_sig-True,tlmi_kraskov_NN-4_DCE__ji,0.16567966015794816,96,96
87,xcorr-sq_max_sig-True,tlmi_kernel_W-0.25__ij,0.8628226538087262,96,96
88,xcorr-sq_max_sig-True,tlmi_kernel_W-0.25__ji,0.21276576612011533,96,96
89,xcorr-sq_max_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4__ij,0.1776268457586181,96,96
90,xcorr-sq_max_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4__ji,0.11275433130115664,96,96
91,xcorr-sq_max_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4__ij,0.3719341480745221,96,96
92,xcorr-sq_max_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4__ji,0.1951209176468937,96,96
93,xcorr-sq_max_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1__ij,0.3965064008686172,96,96
94,xcorr-sq_max_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1__ji,0.11521961023548266,96,96
95,xcorr-sq_max_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1__ij,0.5050925172994525,96,96
96,xcorr-sq_max_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1__ji,0.11663052408286223,96,96
97,xcorr-sq_max_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1__ij,0.3947024741632871,96,96
98,xcorr-sq_max_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1__ji,0.09132092427815691,96,96
99,xcorr-sq_max_sig-True,te_kernel_W-0.25_k-1__ij,0.21023280277128414,96,96
100,xcorr-sq_max_sig-True,te_kernel_W-0.25_k-1__ji,0.07177171421956186,96,96
101,xcorr-sq_max_sig-True,gc_gaussian_k-max-10_tau-max-2__ij,0.6700575679809704,96,96
102,xcorr-sq_max_sig-True,gc_gaussian_k-max-10_tau-max-2__ji,0.1409026983229104,96,96
103,xcorr-sq_max_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1__ij,0.887491538248629,96,96
104,xcorr-sq_max_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1__ji,0.22861123508541387,96,96
105,xcorr-sq_max_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1__ij,0.887491538248629,96,96
106,xcorr-sq_max_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1__ji,0.22861123508541387,96,96
107,xcorr-sq_max_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1__ij,0.7305702030603,96,96
108,xcorr-sq_max_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1__ji,0.22364810487571612,96,96
109,xcorr_mean_sig-True,xcorr-sq_mean_sig-True,0.4316955816224286,96,96
110,xcorr_mean_sig-True,xcorr_mean_sig-False,0.23562602279185788,96,96
111,xcorr_mean_sig-True,xcorr-sq_mean_sig-False,0.28852197368381216,96,96
112,xcorr_mean_sig-True,je_gaussian,0.11594891898027565,96,96
113,xcorr_mean_sig-True,je_kozachenko,0.26824891754219804,96,96
114,xcorr_mean_sig-True,je_kernel_W-0.5,0.13401670253073064,96,96
115,xcorr_mean_sig-True,ce_gaussian,0.11594891898027565,96,96
116,xcorr_mean_sig-True,ce_kozachenko,0.3012321523894115,96,96
117,xcorr_mean_sig-True,ce_kernel_W-0.5,0.13757535584772632,96,96
118,xcorr_mean_sig-True,cce_gaussian__ij,0.15599136133581035,96,96
119,xcorr_mean_sig-True,cce_gaussian__ji,0.1345155397231258,96,96
120,xcorr_mean_sig-True,cce_kozachenko__ij,0.24742527006802884,96,96
121,xcorr_mean_sig-True,cce_kozachenko__ji,0.08708608688656738,96,96
122,xcorr_mean_sig-True,cce_kernel_W-0.5__ij,0.19984401264799165,96,96
123,xcorr_mean_sig-True,cce_kernel_W-0.5__ji,0.06940688245443194,96,96
124,xcorr_mean_sig-True,di_gaussian__ij,0.1410166845382348,96,96
125,xcorr_mean_sig-True,di_gaussian__ji,0.13646075458481166,96,96
126,xcorr_mean_sig-True,di_kozachenko__ij,0.2190502255980885,96,96
127,xcorr_mean_sig-True,di_kozachenko__ji,0.08088394427317142,96,96
128,xcorr_mean_sig-True,di_kernel_W-0.5__ij,0.1081448156580459,96,96
129,xcorr_mean_sig-True,di_kernel_W-0.5__ji,0.030243189605873133,96,96
130,xcorr_mean_sig-True,mi_gaussian,0.11594891898027604,96,96
131,xcorr_mean_sig-True,mi_kraskov_NN-4,0.18391071832959227,96,96
132,xcorr_mean_sig-True,mi_kraskov_NN-4_DCE,0.22011668653781458,96,96
133,xcorr_mean_sig-True,mi_kernel_W-0.25,0.15735287496767547,96,96
134,xcorr_mean_sig-True,tlmi_gaussian__ij,0.12883641884183117,96,96
135,xcorr_mean_sig-True,tlmi_gaussian__ji,0.11006838624542803,96,96
136,xcorr_mean_sig-True,tlmi_kraskov_NN-4__ij,0.16973259037859512,96,96
137,xcorr_mean_sig-True,tlmi_kraskov_NN-4__ji,0.15411864602902836,96,96
138,xcorr_mean_sig-True,tlmi_kraskov_NN-4_DCE__ij,0.20334795405371398,96,96
139,xcorr_mean_sig-True,tlmi_kraskov_NN-4_DCE__ji,0.1495979650886946,96,96
140,xcorr_mean_sig-True,tlmi_kernel_W-0.25__ij,0.14897443961920975,96,96
141,xcorr_mean_sig-True,tlmi_kernel_W-0.25__ji,0.11793398338896466,96,96
142,xcorr_mean_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4__ij,0.07454324950290853,96,96
143,xcorr_mean_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4__ji,0.10550058857317629,96,96
144,xcorr_mean_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4__ij,0.07158355096740285,96,96
145,xcorr_mean_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4__ji,0.0976345094204576,96,96
146,xcorr_mean_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1__ij,0.10272648333466503,96,96
147,xcorr_mean_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1__ji,0.08496390689019323,96,96
148,xcorr_mean_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1__ij,0.08706404412541624,96,96
149,xcorr_mean_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1__ji,0.08338394074339167,96,96
150,xcorr_mean_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1__ij,0.07666591529025324,96,96
151,xcorr_mean_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1__ji,0.0729970894046103,96,96
152,xcorr_mean_sig-True,te_kernel_W-0.25_k-1__ij,0.2619453679136429,96,96
153,xcorr_mean_sig-True,te_kernel_W-0.25_k-1__ji,0.02809954979835627,96,96
154,xcorr_mean_sig-True,gc_gaussian_k-max-10_tau-max-2__ij,0.0619728283471197,96,96
155,xcorr_mean_sig-True,gc_gaussian_k-max-10_tau-max-2__ji,0.07463191263131697,96,96
156,xcorr_mean_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1__ij,0.13361982489692603,96,96
157,xcorr_mean_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1__ji,0.11947726496870026,96,96
158,xcorr_mean_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1__ij,0.13361982489692603,96,96
159,xcorr_mean_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1__ji,0.11947726496870026,96,96
160,xcorr_mean_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1__ij,0.08937257166167445,96,96
161,xcorr_mean_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1__ji,0.12407720732496763,96,96
162,xcorr-sq_mean_sig-True,xcorr_mean_sig-False,0.23744535276869894,96,96
163,xcorr-sq_mean_sig-True,xcorr-sq_mean_sig-False,0.4460999759113554,96,96
164,xcorr-sq_mean_sig-True,je_gaussian,0.08470214136164955,96,96
165,xcorr-sq_mean_sig-True,je_kozachenko,0.514156952481388,96,96
166,xcorr-sq_mean_sig-True,je_kernel_W-0.5,0.1489319937900377,96,96
167,xcorr-sq_mean_sig-True,ce_gaussian,0.08470214136164955,96,96
168,xcorr-sq_mean_sig-True,ce_kozachenko,0.5385462876355683,96,96
169,xcorr-sq_mean_sig-True,ce_kernel_W-0.5,0.1460971418530517,96,96
170,xcorr-sq_mean_sig-True,cce_gaussian__ij,0.15876145693586838,96,96
171,xcorr-sq_mean_sig-True,cce_gaussian__ji,0.08590115898235628,96,96
172,xcorr-sq_mean_sig-True,cce_kozachenko__ij,0.3244556202471787,96,96
173,xcorr-sq_mean_sig-True,cce_kozachenko__ji,0.08732690041533925,96,96
