feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_Kuramoto
0,anm,bary-sq_euclidean_max,0.37816007096865606,64,64
1,anm,bary-sq_euclidean_mean,0.22145010479219995,64,64
2,anm,bary_euclidean_max,0.3834238630970162,64,64
3,anm,bary_euclidean_mean,0.296875,64,64
4,anm,cce_gaussian,1.0,64,64
5,anm,cce_kernel_W-0.5,0.1840192847874629,64,64
6,anm,cce_kozachenko,0.5421586222316864,64,64
7,anm,cds,0.5084492656935631,64,64
8,anm,ce_gaussian,0.48936235897968966,64,64
9,anm,ce_kernel_W-0.5,0.342731726389985,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.13197210415230676,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.13026263036949698,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.14274190779093304,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.08530452046917453,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.117446509484045,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.10515164820776762,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.2778408668049428,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.32276089905086314,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.32364839813798374,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.20885015689740277,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.09039941235357946,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.222703018142495,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.10144502052801788,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.35265132488080947,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.11702359963187203,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.3317826794231519,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.13112868532778788,64,64
27,anm,cov-sq_EmpiricalCovariance,0.40006297429738313,64,64
28,anm,cov-sq_GraphicalLasso,0.4723741378630049,64,64
29,anm,cov-sq_LedoitWolf,0.96875,64,64
30,anm,cov-sq_OAS,0.7821420449338631,64,64
31,anm,cov-sq_ShrunkCovariance,0.40006297429738313,64,64
32,anm,cov_EmpiricalCovariance,0.4732028906382948,64,64
33,anm,cov_GraphicalLasso,0.4948015833606903,64,64
34,anm,cov_GraphicalLassoCV,0.6225719645407124,64,64
35,anm,cov_LedoitWolf,0.875,64,64
36,anm,cov_OAS,0.7170906694865123,64,64
37,anm,cov_ShrunkCovariance,0.4732028906382948,64,64
