feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1),n_Kuramoto
0,anm,bary-sq_euclidean_max,0.11797859615396322,64,64
1,anm,bary-sq_euclidean_mean,0.14453839458704942,64,64
2,anm,bary_euclidean_max,0.08127524414944631,64,64
3,anm,bary_euclidean_mean,0.171875,64,64
4,anm,cce_gaussian,0.78125,64,64
5,anm,cce_kernel_W-0.5,0.41598993464717104,64,64
6,anm,cce_kozachenko,0.8837087707457763,64,64
7,anm,cds,0.4497890220045339,64,64
8,anm,ce_gaussian,0.42794742065301056,64,64
9,anm,ce_kernel_W-0.5,0.3629034212033514,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.07277201164299119,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.15216399738899555,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.15368064102663564,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.08980994940798315,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.17342537584779988,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.1568522182622346,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.1705749518385289,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.1500097208257429,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.13260471123702516,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.04079348462941579,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.11927144170804954,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.0842088486078496,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.12880294027454764,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.05998983153514546,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.13810459793570523,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.09534498882358591,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.13348790682862233,64,64
27,anm,cov-sq_EmpiricalCovariance,0.3962539858322142,64,64
28,anm,cov-sq_GraphicalLasso,0.2383779448135998,64,64
29,anm,cov-sq_LedoitWolf,0.3962539858322142,64,64
30,anm,cov-sq_OAS,0.3962539858322142,64,64
31,anm,cov-sq_ShrunkCovariance,0.3962539858322142,64,64
32,anm,cov_EmpiricalCovariance,0.6779763954519884,64,64
33,anm,cov_GraphicalLasso,0.6586054181300528,64,64
34,anm,cov_GraphicalLassoCV,0.6701414231190426,64,64
35,anm,cov_LedoitWolf,0.6779763954519884,64,64
36,anm,cov_OAS,0.6779763954519884,64,64
37,anm,cov_ShrunkCovariance,0.6779763954519884,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.055810948485159426,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.07553321822130397,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.07617406738526669,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.06168132937059818,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.14126728273671293,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.14453834502790508,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.12027924341779545,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06635239969882784,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.06759957680778317,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.09147989095864445,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.07534158295068717,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.07090621465828113,64,64
50,anm,di_gaussian,0.984375,64,64
51,anm,di_kernel_W-0.5,0.5107498070549621,64,64
52,anm,di_kozachenko,0.2519459329885929,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.9634569993384072,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.24195271591891232,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.29866394045387884,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.6279922000512244,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.49578311526018914,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5534227900398893,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.9319946924364884,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.27190776414208806,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3301471312580388,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4245305443807922,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4256731540487403,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.44495473495849824,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.10204197825250666,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.08081261024799385,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0850155436151464,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.03569551550844631,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.08557446390366458,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06215484974439894,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.25545825226351027,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.265625,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.10114059284755833,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.24058048908150997,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.17158258179970942,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.08868697802800019,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.12855568368589346,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.13363113807424198,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.14703282478454355,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.16835257188181824,64,64
81,anm,gwtau,0.3282016070709272,64,64
82,anm,hsic,0.47665910107303544,64,64
83,anm,hsic_biased,0.47419530532984544,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.15157364229443904,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.11166904321597643,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.08613982674029425,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.1800385603662845,64,64
88,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.21145164760030408,64,64
89,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.21061392130683448,64,64
90,anm,igci,0.11597072777059886,64,64
91,anm,je_gaussian,0.3741453956453088,64,64
92,anm,je_kernel_W-0.5,0.37480067988002363,64,64
93,anm,je_kozachenko,0.6595304590937693,64,64
94,anm,kendalltau,0.6794219710424109,64,64
95,anm,kendalltau-sq,0.3871770570638431,64,64
96,anm,lmfit_BayesianRidge,0.3716158300540368,64,64
97,anm,lmfit_ElasticNet,0.26598297091767553,64,64
98,anm,lmfit_Lasso,0.08282806169445422,64,64
99,anm,lmfit_Ridge,0.371638347323983,64,64
100,anm,lmfit_SGDRegressor,0.3712182887410949,64,64
101,anm,mi_gaussian,0.3962539858322142,64,64
102,anm,mi_kernel_W-0.25,0.48128853380241177,64,64
103,anm,mi_kraskov_NN-4,0.49255462497372127,64,64
104,anm,mi_kraskov_NN-4_DCE,0.3468928001448801,64,64
105,anm,pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.10204197825250666,64,64
106,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.08081261024799385,64,64
107,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0850155436151464,64,64
108,anm,pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.03569551550844631,64,64
109,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.08557446390366458,64,64
110,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06215484974439894,64,64
111,anm,pdist_braycurtis,0.15566485720422973,64,64
112,anm,pdist_canberra,0.15618586124456635,64,64
113,anm,pdist_chebyshev,0.04080524272750086,64,64
114,anm,pdist_cityblock,0.1478721140260567,64,64
115,anm,pdist_cosine,0.1407289451451893,64,64
116,anm,pdist_euclidean,0.1407289451451893,64,64
117,anm,pec,0.12382672391348848,64,64
118,anm,pec_log,0.1754826657851506,64,64
119,anm,pec_orth,0.13852120790178057,64,64
120,anm,pec_orth_abs,0.19649172782315746,64,64
121,anm,pec_orth_log,0.1491258792515644,64,64
122,anm,pec_orth_log_abs,0.2065263068494697,64,64
123,anm,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.10646497756753023,64,64
124,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.08780023127441772,64,64
125,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0617898502478883,64,64
126,anm,phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.109375,64,64
127,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.6472431857875222,64,64
128,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.6347956962089674,64,64
129,anm,pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.9226241364966359,64,64
130,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.24465385496098405,64,64
131,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3617490582098475,64,64
132,anm,pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.125,64,64
