feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_CML
0,anm,bary-sq_euclidean_max,0.39657123429234525,64,64
1,anm,bary-sq_euclidean_mean,0.14797261880818102,64,64
2,anm,bary_euclidean_max,0.2895540592560856,64,64
3,anm,bary_euclidean_mean,0.171875,64,64
4,anm,cce_gaussian,0.38099898667147675,64,64
5,anm,cce_kernel_W-0.5,0.3316490455926674,64,64
6,anm,cce_kozachenko,0.9255077823462631,64,64
7,anm,cds,0.6633639470789892,64,64
8,anm,ce_gaussian,0.5248313446885264,64,64
9,anm,ce_kernel_W-0.5,0.3976669928712342,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3218995067840087,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.20161106179670152,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.25840897673225993,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.43759881848431503,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3225379909294883,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.395694903740206,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.10958646912199066,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.10296344351773457,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.08825916063832961,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.39697649492433906,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.1924982353671724,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.3871511587952714,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.13863638456366728,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.2921899715936244,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.24567143093974564,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.3158091068547176,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.18110871762553576,64,64
27,anm,cov-sq_EmpiricalCovariance,0.7355385834228158,64,64
28,anm,cov-sq_GraphicalLasso,0.7472998223894423,64,64
29,anm,cov-sq_LedoitWolf,0.9629512373094923,64,64
30,anm,cov-sq_OAS,0.957276184042505,64,64
31,anm,cov-sq_ShrunkCovariance,0.7355385834228158,64,64
32,anm,cov_EmpiricalCovariance,0.2949482018768016,64,64
33,anm,cov_GraphicalLasso,0.28244465629589155,64,64
34,anm,cov_GraphicalLassoCV,0.4431956602121935,64,64
35,anm,cov_LedoitWolf,0.538276819849097,64,64
36,anm,cov_OAS,0.5378240328717939,64,64
37,anm,cov_ShrunkCovariance,0.2949482018768016,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.37789912264587605,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.13570489712504707,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3717159923897491,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.23208068396681453,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1329513014418084,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.22371939618711645,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.27310266567021524,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.033446466628619276,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2713842838237993,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.1006648676211454,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.04534347763784363,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.09219390618476192,64,64
50,anm,di_gaussian,0.5274823463902623,64,64
51,anm,di_kernel_W-0.5,0.6183611317332979,64,64
52,anm,di_kozachenko,0.14208090712304078,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.007617926164489863,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.00521796783758699,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.003976871920832292,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4336347899932411,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.36742811266616454,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4439779230387536,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.007803278486239407,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.00732804228626982,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0039737719761887,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5021991773245487,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.40406063692387173,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.494127980200756,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.20969269099690863,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.19966552031121293,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.24036987718900105,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.13709180958152878,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.13663898023039522,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.1373838812130848,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.34515929793065525,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.1875,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.109375,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.078125,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.30272579129241384,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.2667643864158798,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.33352799973007785,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.3511872057662175,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2722838513531797,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3573583567166233,64,64
81,anm,gwtau,0.17525005223838577,64,64
82,anm,hsic,0.910433775330108,64,64
83,anm,hsic_biased,0.820379716961653,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2226315609859778,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.24596238667052073,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.23545454168195767,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.2899828836653527,64,64
88,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.25159237516506405,64,64
89,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3406096848178918,64,64
90,anm,igci,0.2290211515086466,64,64
91,anm,je_gaussian,0.5248756184323842,64,64
92,anm,je_kernel_W-0.5,0.38442243517846314,64,64
93,anm,je_kozachenko,0.6847268598608693,64,64
94,anm,kendalltau,0.2832207649581602,64,64
95,anm,kendalltau-sq,0.713483287488847,64,64
96,anm,lmfit_BayesianRidge,0.5242786691416892,64,64
97,anm,lmfit_ElasticNet,0.11461647285323975,64,64
98,anm,lmfit_Lasso,0.04642374239669589,64,64
99,anm,lmfit_Ridge,0.5249916382354304,64,64
100,anm,lmfit_SGDRegressor,0.5201410833203338,64,64
101,anm,mi_gaussian,0.7355385834228158,64,64
102,anm,mi_kernel_W-0.25,0.819515946724852,64,64
103,anm,mi_kraskov_NN-4,0.8186919198308016,64,64
104,anm,mi_kraskov_NN-4_DCE,0.7255149243395055,64,64
105,anm,pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.20969269099690863,64,64
106,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.19966552031121293,64,64
107,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.24036987718900105,64,64
108,anm,pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.13709180958152878,64,64
109,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.13663898023039522,64,64
110,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.1373838812130848,64,64
111,anm,pdist_braycurtis,0.12368209076926762,64,64
112,anm,pdist_canberra,0.15383176955280153,64,64
113,anm,pdist_chebyshev,0.3911820970903451,64,64
114,anm,pdist_cityblock,0.16379176513669297,64,64
115,anm,pdist_cosine,0.1351493341994146,64,64
116,anm,pdist_euclidean,0.1351493341994146,64,64
117,anm,pec,0.558138358244409,64,64
118,anm,pec_log,0.48465802319243334,64,64
119,anm,pec_orth,0.2663955399496095,64,64
120,anm,pec_orth_abs,0.570156614260666,64,64
121,anm,pec_orth_log,0.2766675420570308,64,64
122,anm,pec_orth_log_abs,0.4768157000339139,64,64
123,anm,phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.03155584974719017,64,64
124,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.20151402795884105,64,64
125,anm,phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.20591505477779884,64,64
126,anm,phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.078125,64,64
127,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.37291743350706524,64,64
128,anm,phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.38758888844136186,64,64
129,anm,pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.020668828172743403,64,64
130,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.03408695663606853,64,64
131,anm,pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.025761187682749043,64,64
