feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1),n_CML
0,anm,bary-sq_euclidean_max,0.30849847702185546,64,64
1,anm,bary-sq_euclidean_mean,0.1326481190087775,64,64
2,anm,bary_euclidean_max,0.3146638451653451,64,64
3,anm,bary_euclidean_mean,0.109375,64,64
4,anm,cce_gaussian,0.2381405669349515,64,64
5,anm,cce_kernel_W-0.5,0.28330497241475494,64,64
6,anm,cce_kozachenko,0.8339011563817982,64,64
7,anm,cds,0.581176698142157,64,64
8,anm,ce_gaussian,0.5475273747225395,64,64
9,anm,ce_kernel_W-0.5,0.42401553063697117,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3302058959640379,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.26163659446921483,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.314363527742769,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4854089717709069,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3120069489454925,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4628688274248913,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.014875213652810748,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.006742844416268823,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.02896327410894145,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.4962520319159087,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.05105602921505473,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.4861743393046737,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.023148371318932243,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.41441823274028056,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.08301893984176081,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.41180991642090564,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.06011432867263422,64,64
27,anm,cov-sq_EmpiricalCovariance,0.7634592420698186,64,64
28,anm,cov-sq_GraphicalLasso,0.7669139086384378,64,64
29,anm,cov-sq_LedoitWolf,0.7267065830039837,64,64
30,anm,cov-sq_OAS,0.7267065830039837,64,64
31,anm,cov-sq_ShrunkCovariance,0.7634592420698186,64,64
32,anm,cov_EmpiricalCovariance,0.1012148169880355,64,64
33,anm,cov_GraphicalLasso,0.1045815921331768,64,64
34,anm,cov_GraphicalLassoCV,0.07825063365151391,64,64
35,anm,cov_LedoitWolf,0.1035971840653594,64,64
36,anm,cov_OAS,0.1035971840653594,64,64
37,anm,cov_ShrunkCovariance,0.1012148169880355,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3790234145619762,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.183088114927005,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.45910892114053903,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.23666288814753905,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.15704349476141005,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.30426985804245255,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2773908088662316,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04933806872304358,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3671977003655843,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.09905923184486676,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.027317515210460108,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.14644827086744433,64,64
50,anm,di_gaussian,0.5456668152039182,64,64
51,anm,di_kernel_W-0.5,0.6788707684382347,64,64
52,anm,di_kozachenko,0.5933780685073275,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.003882287783363081,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.020422997095526974,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.008523968819079797,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4922752952003454,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3474776707632559,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5238611497629104,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.003985868614631349,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.022803448699529993,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.008524134616392676,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5449857213419598,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.40700229516691844,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5296035962210013,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.20079462693936034,64,64
