feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_GaussianNoise
0,anm,bary-sq_euclidean_max,0.1928681936138399,64,64
1,anm,bary-sq_euclidean_mean,0.02685742350645881,64,64
2,anm,bary_euclidean_max,0.06454866749871846,64,64
3,anm,bary_euclidean_mean,0.1875,64,64
4,anm,cce_gaussian,0.371928126731647,64,64
5,anm,cce_kernel_W-0.5,0.4664830050344224,64,64
6,anm,cce_kozachenko,0.9522488118282737,64,64
7,anm,cds,0.06416224750622135,64,64
8,anm,ce_gaussian,0.07030142678725071,64,64
9,anm,ce_kernel_W-0.5,0.03112605411028385,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.04825398896638572,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0593567230223957,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.05908649554706752,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.04424845775191566,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.02527479886402062,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.038712442756262955,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.016480374100345405,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.013307884603930148,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.0324145379936257,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.02961930777077193,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.020637336881913382,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.02683732250198967,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.02473760867509056,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.009831767918317191,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.016295086021738125,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.013315467682710858,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.016529806443993156,64,64
27,anm,cov-sq_EmpiricalCovariance,0.03567915846798353,64,64
28,anm,cov-sq_GraphicalLasso,0.2683891594115247,64,64
29,anm,cov-sq_LedoitWolf,0.234375,64,64
30,anm,cov-sq_OAS,0.06749371740164933,64,64
31,anm,cov-sq_ShrunkCovariance,0.03567915846798353,64,64
32,anm,cov_EmpiricalCovariance,0.1893452849143633,64,64
33,anm,cov_GraphicalLasso,0.11621967289893198,64,64
