feature_index,SPI-1,SPI-2,ks_statistic,n_Kuramoto,n_CML
0,anm,bary-sq_euclidean_max,0.25909743965501053,64,64
1,anm,bary-sq_euclidean_mean,0.24428763976152146,64,64
2,anm,bary_euclidean_max,0.33007203264838303,64,64
3,anm,bary_euclidean_mean,0.109375,64,64
4,anm,cce_gaussian,0.578125,64,64
5,anm,cce_kernel_W-0.5,0.046852594962550786,64,64
6,anm,cce_kozachenko,0.14244947233755412,64,64
7,anm,cds,0.25501929342187135,64,64
8,anm,ce_gaussian,0.17975520215856622,64,64
9,anm,ce_kernel_W-0.5,0.11872212265697607,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3137730421200927,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.19896562425776948,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.26196511572177866,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.47247481084438825,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.2703310504686475,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4249591289918112,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.06314253879857942,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.06256451645345218,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.07302610724462066,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.43389112534218277,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.08957353408110152,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.40696838259175594,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.06283690285583426,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.3682691043737416,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.14257864193090908,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.3670802851060878,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.113417990528696,64,64
27,anm,cov-sq_EmpiricalCovariance,0.5413738942238736,64,64
28,anm,cov-sq_GraphicalLasso,0.5313255807443514,64,64
29,anm,cov-sq_LedoitWolf,0.4866367400905012,64,64
30,anm,cov-sq_OAS,0.4866367400905012,64,64
31,anm,cov-sq_ShrunkCovariance,0.5413738942238736,64,64
32,anm,cov_EmpiricalCovariance,0.3271135486411047,64,64
33,anm,cov_GraphicalLasso,0.3160656417030788,64,64
34,anm,cov_GraphicalLassoCV,0.3476462656518283,64,64
35,anm,cov_LedoitWolf,0.32491271010167533,64,64
36,anm,cov_OAS,0.32491271010167533,64,64
37,anm,cov_ShrunkCovariance,0.3271135486411047,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.3757222878587978,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1955495547753269,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.42324124275917063,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.26109768711460557,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.18495954096318554,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.30982212052594116,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.24379508781498782,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.05579714985018594,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3147870418060903,64,64
