feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_Kuramoto
0,anm,bary-sq_euclidean_max,0.025992043518092117,64,64
1,anm,bary-sq_euclidean_mean,0.12513480292652573,64,64
2,anm,bary_euclidean_max,0.07308332378710608,64,64
3,anm,bary_euclidean_mean,0.15625,64,64
4,anm,cce_gaussian,1.0,64,64
5,anm,cce_kernel_W-0.5,0.23665925825259865,64,64
6,anm,cce_kozachenko,0.7619018798302801,64,64
7,anm,cds,0.3532312216190183,64,64
8,anm,ce_gaussian,0.2418277116860872,64,64
9,anm,ce_kernel_W-0.5,0.1691913956874537,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.025692653331204324,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.011890892012795695,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.013619175483381651,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.026561890676352617,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.03433425943162327,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.015003138618475798,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.1467898290320503,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.16233736156335854,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.16695762609175724,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.11546978608627342,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.03195793398457436,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.10519072261084841,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.05216487087369959,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.13608240496845714,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.02208556815559226,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.12229454961077652,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.0302419340941259,64,64
27,anm,cov-sq_EmpiricalCovariance,0.20718296996440705,64,64
28,anm,cov-sq_GraphicalLasso,0.15949111005344163,64,64
29,anm,cov-sq_LedoitWolf,0.6992280822565409,64,64
30,anm,cov-sq_OAS,0.673752957655888,64,64
31,anm,cov-sq_ShrunkCovariance,0.20718296996440705,64,64
32,anm,cov_EmpiricalCovariance,0.3264900210858922,64,64
33,anm,cov_GraphicalLasso,0.26683346639408256,64,64
34,anm,cov_GraphicalLassoCV,0.4044744747406568,64,64
35,anm,cov_LedoitWolf,0.5710916633191936,64,64
36,anm,cov_OAS,0.5679416450403465,64,64
37,anm,cov_ShrunkCovariance,0.3264900210858922,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.03570820484130888,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.06013143553985731,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.052329358451424446,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.020819300228075585,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.080021657753237,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.08634806888280802,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.06800451611315311,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.03859071000855355,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.03017266580004123,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.044016058746362385,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0681568921145601,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06895050083124407,64,64
50,anm,di_gaussian,1.0,64,64
51,anm,di_kernel_W-0.5,0.29678093256049565,64,64
52,anm,di_kozachenko,0.5399979662129119,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.7695221617454882,64,64
