feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1)-Symmetric,n_VAR(1)-Unidirectional
0,xcorr_max_sig-True,xcorr-sq_max_sig-True,0.820084047033696,96,96
1,xcorr_max_sig-True,xcorr_mean_sig-True,0.2702349718560124,96,96
2,xcorr_max_sig-True,xcorr-sq_mean_sig-True,0.3819580846162819,96,96
3,xcorr_max_sig-True,xcorr_mean_sig-False,0.10714086016942861,96,96
4,xcorr_max_sig-True,xcorr-sq_mean_sig-False,0.1561805673172667,96,96
5,xcorr_max_sig-True,je_gaussian,0.826045284301463,96,96
6,xcorr_max_sig-True,je_kozachenko,0.9462372433919812,96,96
7,xcorr_max_sig-True,je_kernel_W-0.5,0.8609885113214638,96,96
8,xcorr_max_sig-True,ce_gaussian,0.826045284301463,96,96
9,xcorr_max_sig-True,ce_kozachenko,0.9471600453272417,96,96
10,xcorr_max_sig-True,ce_kernel_W-0.5,0.870529691905815,96,96
11,xcorr_max_sig-True,cce_gaussian,0.7491644485582809,96,96
12,xcorr_max_sig-True,cce_kozachenko,0.736375660736099,96,96
13,xcorr_max_sig-True,cce_kernel_W-0.5,0.8817678488700332,96,96
14,xcorr_max_sig-True,di_gaussian,0.6746370553507295,96,96
15,xcorr_max_sig-True,di_kozachenko,0.7978432307351234,96,96
16,xcorr_max_sig-True,di_kernel_W-0.5,0.726470969985884,96,96
17,xcorr_max_sig-True,mi_gaussian,0.8260452843014628,96,96
18,xcorr_max_sig-True,mi_kraskov_NN-4,0.9217167419516566,96,96
19,xcorr_max_sig-True,mi_kraskov_NN-4_DCE,0.930812526039854,96,96
20,xcorr_max_sig-True,mi_kernel_W-0.25,0.8739351202601634,96,96
21,xcorr_max_sig-True,tlmi_gaussian,0.8187594160162412,96,96
22,xcorr_max_sig-True,tlmi_kraskov_NN-4,0.9833303979307437,96,96
23,xcorr_max_sig-True,tlmi_kraskov_NN-4_DCE,0.9851291726479955,96,96
24,xcorr_max_sig-True,tlmi_kernel_W-0.25,0.8623729303509353,96,96
25,xcorr_max_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4,0.7069901726805254,96,96
26,xcorr_max_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.7583855141980583,96,96
27,xcorr_max_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.7230136781430446,96,96
28,xcorr_max_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.7955565028461689,96,96
29,xcorr_max_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.7881072618583508,96,96
30,xcorr_max_sig-True,te_kernel_W-0.25_k-1,0.20000259930035746,96,96
31,xcorr_max_sig-True,gc_gaussian_k-max-10_tau-max-2,0.8777651697568702,96,96
32,xcorr_max_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1,0.9696521133945267,96,96
33,xcorr_max_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1,0.9696521133945267,96,96
34,xcorr_max_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1,0.9250079932496905,96,96
35,xcorr-sq_max_sig-True,xcorr_mean_sig-True,0.10612326590659722,96,96
36,xcorr-sq_max_sig-True,xcorr-sq_mean_sig-True,0.4778743154566582,96,96
37,xcorr-sq_max_sig-True,xcorr_mean_sig-False,0.11022229918615933,96,96
38,xcorr-sq_max_sig-True,xcorr-sq_mean_sig-False,0.22728491705240678,96,96
39,xcorr-sq_max_sig-True,je_gaussian,0.8155929674072797,96,96
40,xcorr-sq_max_sig-True,je_kozachenko,0.9481461558026487,96,96
41,xcorr-sq_max_sig-True,je_kernel_W-0.5,0.8524135827261851,96,96
42,xcorr-sq_max_sig-True,ce_gaussian,0.8155929674072797,96,96
43,xcorr-sq_max_sig-True,ce_kozachenko,0.9514509439109261,96,96
44,xcorr-sq_max_sig-True,ce_kernel_W-0.5,0.8635202309315317,96,96
45,xcorr-sq_max_sig-True,cce_gaussian,0.7152052308551619,96,96
46,xcorr-sq_max_sig-True,cce_kozachenko,0.7363733337054202,96,96
47,xcorr-sq_max_sig-True,cce_kernel_W-0.5,0.8870905841111772,96,96
48,xcorr-sq_max_sig-True,di_gaussian,0.6621595415920155,96,96
49,xcorr-sq_max_sig-True,di_kozachenko,0.7950051741058985,96,96
50,xcorr-sq_max_sig-True,di_kernel_W-0.5,0.7269319684559401,96,96
51,xcorr-sq_max_sig-True,mi_gaussian,0.8155929674072794,96,96
52,xcorr-sq_max_sig-True,mi_kraskov_NN-4,0.9396991632581645,96,96
53,xcorr-sq_max_sig-True,mi_kraskov_NN-4_DCE,0.9455898185906734,96,96
54,xcorr-sq_max_sig-True,mi_kernel_W-0.25,0.8583275786515167,96,96
55,xcorr-sq_max_sig-True,tlmi_gaussian,0.8010982058850752,96,96
56,xcorr-sq_max_sig-True,tlmi_kraskov_NN-4,0.9879288350160886,96,96
57,xcorr-sq_max_sig-True,tlmi_kraskov_NN-4_DCE,0.9871338808334761,96,96
58,xcorr-sq_max_sig-True,tlmi_kernel_W-0.25,0.8577288381596717,96,96
59,xcorr-sq_max_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4,0.7061651643796609,96,96
60,xcorr-sq_max_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.7530462734244043,96,96
61,xcorr-sq_max_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.7289778072962483,96,96
62,xcorr-sq_max_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.7910204144256882,96,96
63,xcorr-sq_max_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.7849967234744447,96,96
64,xcorr-sq_max_sig-True,te_kernel_W-0.25_k-1,0.1990562900942735,96,96
65,xcorr-sq_max_sig-True,gc_gaussian_k-max-10_tau-max-2,0.889338811644892,96,96
66,xcorr-sq_max_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1,0.9768302997592432,96,96
67,xcorr-sq_max_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1,0.9768302997592432,96,96
68,xcorr-sq_max_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1,0.9378802291216598,96,96
69,xcorr_mean_sig-True,xcorr-sq_mean_sig-True,0.4316955816224286,96,96
70,xcorr_mean_sig-True,xcorr_mean_sig-False,0.23562602279185788,96,96
71,xcorr_mean_sig-True,xcorr-sq_mean_sig-False,0.28852197368381216,96,96
72,xcorr_mean_sig-True,je_gaussian,0.11594891898027565,96,96
73,xcorr_mean_sig-True,je_kozachenko,0.26824891754219804,96,96
74,xcorr_mean_sig-True,je_kernel_W-0.5,0.13401670253073064,96,96
75,xcorr_mean_sig-True,ce_gaussian,0.11594891898027565,96,96
76,xcorr_mean_sig-True,ce_kozachenko,0.3012321523894115,96,96
77,xcorr_mean_sig-True,ce_kernel_W-0.5,0.13757535584772632,96,96
78,xcorr_mean_sig-True,cce_gaussian,0.2550252348281262,96,96
79,xcorr_mean_sig-True,cce_kozachenko,0.19493114598990724,96,96
80,xcorr_mean_sig-True,cce_kernel_W-0.5,0.2443385198297695,96,96
81,xcorr_mean_sig-True,di_gaussian,0.42560630812796735,96,96
82,xcorr_mean_sig-True,di_kozachenko,0.583162604957258,96,96
83,xcorr_mean_sig-True,di_kernel_W-0.5,0.47997812093059633,96,96
84,xcorr_mean_sig-True,mi_gaussian,0.11594891898027604,96,96
85,xcorr_mean_sig-True,mi_kraskov_NN-4,0.18391071832959227,96,96
86,xcorr_mean_sig-True,mi_kraskov_NN-4_DCE,0.22011668653781458,96,96
87,xcorr_mean_sig-True,mi_kernel_W-0.25,0.15735287496767547,96,96
88,xcorr_mean_sig-True,tlmi_gaussian,0.3463545470187745,96,96
89,xcorr_mean_sig-True,tlmi_kraskov_NN-4,0.5126348258138806,96,96
90,xcorr_mean_sig-True,tlmi_kraskov_NN-4_DCE,0.5385194712590358,96,96
91,xcorr_mean_sig-True,tlmi_kernel_W-0.25,0.43999956341402424,96,96
92,xcorr_mean_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4,0.46424794835013766,96,96
93,xcorr_mean_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.3290703751627521,96,96
94,xcorr_mean_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.3717737011812223,96,96
95,xcorr_mean_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.4802756448855973,96,96
96,xcorr_mean_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.5299453750829088,96,96
97,xcorr_mean_sig-True,te_kernel_W-0.25_k-1,0.28547328067206146,96,96
98,xcorr_mean_sig-True,gc_gaussian_k-max-10_tau-max-2,0.49116816234777266,96,96
99,xcorr_mean_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1,0.5369339071873049,96,96
100,xcorr_mean_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1,0.5369339071873049,96,96
101,xcorr_mean_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1,0.516001922797142,96,96
102,xcorr-sq_mean_sig-True,xcorr_mean_sig-False,0.23744535276869894,96,96
103,xcorr-sq_mean_sig-True,xcorr-sq_mean_sig-False,0.4460999759113554,96,96
104,xcorr-sq_mean_sig-True,je_gaussian,0.08470214136164955,96,96
105,xcorr-sq_mean_sig-True,je_kozachenko,0.514156952481388,96,96
106,xcorr-sq_mean_sig-True,je_kernel_W-0.5,0.1489319937900377,96,96
107,xcorr-sq_mean_sig-True,ce_gaussian,0.08470214136164955,96,96
108,xcorr-sq_mean_sig-True,ce_kozachenko,0.5385462876355683,96,96
109,xcorr-sq_mean_sig-True,ce_kernel_W-0.5,0.1460971418530517,96,96
110,xcorr-sq_mean_sig-True,cce_gaussian,0.27863728763957607,96,96
111,xcorr-sq_mean_sig-True,cce_kozachenko,0.3714745252324128,96,96
112,xcorr-sq_mean_sig-True,cce_kernel_W-0.5,0.5899450899640831,96,96
113,xcorr-sq_mean_sig-True,di_gaussian,0.2425591737010797,96,96
114,xcorr-sq_mean_sig-True,di_kozachenko,0.5315272909177449,96,96
115,xcorr-sq_mean_sig-True,di_kernel_W-0.5,0.47394413902403537,96,96
116,xcorr-sq_mean_sig-True,mi_gaussian,0.08470214136164902,96,96
117,xcorr-sq_mean_sig-True,mi_kraskov_NN-4,0.36429593891439216,96,96
118,xcorr-sq_mean_sig-True,mi_kraskov_NN-4_DCE,0.40467776691990626,96,96
119,xcorr-sq_mean_sig-True,mi_kernel_W-0.25,0.19624323891468676,96,96
120,xcorr-sq_mean_sig-True,tlmi_gaussian,0.15372757375223722,96,96
121,xcorr-sq_mean_sig-True,tlmi_kraskov_NN-4,0.6706089179576672,96,96
122,xcorr-sq_mean_sig-True,tlmi_kraskov_NN-4_DCE,0.6844784950427643,96,96
123,xcorr-sq_mean_sig-True,tlmi_kernel_W-0.25,0.2962695139372732,96,96
124,xcorr-sq_mean_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4,0.5260805702197673,96,96
125,xcorr-sq_mean_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.5218129842326633,96,96
126,xcorr-sq_mean_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.5270789391079671,96,96
127,xcorr-sq_mean_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.5935264648623101,96,96
128,xcorr-sq_mean_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.6201137573236275,96,96
129,xcorr-sq_mean_sig-True,te_kernel_W-0.25_k-1,0.16472541919522188,96,96
130,xcorr-sq_mean_sig-True,gc_gaussian_k-max-10_tau-max-2,0.40854499367024616,96,96
131,xcorr-sq_mean_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1,0.4698955268169626,96,96
132,xcorr-sq_mean_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1,0.4698955268169626,96,96
133,xcorr-sq_mean_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1,0.4036245846784192,96,96
134,xcorr_mean_sig-False,xcorr-sq_mean_sig-False,0.2633045392422585,96,96
135,xcorr_mean_sig-False,je_gaussian,0.06410258094898433,96,96
136,xcorr_mean_sig-False,je_kozachenko,0.2446912048784931,96,96
137,xcorr_mean_sig-False,je_kernel_W-0.5,0.11274547878081304,96,96
138,xcorr_mean_sig-False,ce_gaussian,0.06410258094898433,96,96
139,xcorr_mean_sig-False,ce_kozachenko,0.21369081362260117,96,96
140,xcorr_mean_sig-False,ce_kernel_W-0.5,0.12156879442201896,96,96
141,xcorr_mean_sig-False,cce_gaussian,0.22957773506455337,96,96
142,xcorr_mean_sig-False,cce_kozachenko,0.19610308244811414,96,96
143,xcorr_mean_sig-False,cce_kernel_W-0.5,0.23765030513477348,96,96
144,xcorr_mean_sig-False,di_gaussian,0.3289776650883386,96,96
145,xcorr_mean_sig-False,di_kozachenko,0.4558522495236668,96,96
146,xcorr_mean_sig-False,di_kernel_W-0.5,0.3370540415174953,96,96
147,xcorr_mean_sig-False,mi_gaussian,0.0641025809489838,96,96
148,xcorr_mean_sig-False,mi_kraskov_NN-4,0.13801056122832056,96,96
149,xcorr_mean_sig-False,mi_kraskov_NN-4_DCE,0.17565754488081076,96,96
150,xcorr_mean_sig-False,mi_kernel_W-0.25,0.13950717718996442,96,96
151,xcorr_mean_sig-False,tlmi_gaussian,0.2909077950103462,96,96
152,xcorr_mean_sig-False,tlmi_kraskov_NN-4,0.5178650299066442,96,96
153,xcorr_mean_sig-False,tlmi_kraskov_NN-4_DCE,0.5352326837062766,96,96
154,xcorr_mean_sig-False,tlmi_kernel_W-0.25,0.3592827899952412,96,96
155,xcorr_mean_sig-False,te_kraskov_NN-4_k-max-10_tau-max-4,0.36765761938061475,96,96
156,xcorr_mean_sig-False,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.2044801564440053,96,96
157,xcorr_mean_sig-False,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.25540955930314035,96,96
158,xcorr_mean_sig-False,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.36384860279512393,96,96
159,xcorr_mean_sig-False,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.39656797330022897,96,96
160,xcorr_mean_sig-False,te_kernel_W-0.25_k-1,0.20429687564603705,96,96
161,xcorr_mean_sig-False,gc_gaussian_k-max-10_tau-max-2,0.3826870986385417,96,96
162,xcorr_mean_sig-False,gc_gaussian_k-1_kt-1_l-1_lt-1,0.4480256200618558,96,96
163,xcorr_mean_sig-False,te_symbolic_k-1_kt-1_l-1_lt-1,0.4480256200618558,96,96
164,xcorr_mean_sig-False,te_symbolic_k-10_kt-1_l-1_lt-1,0.44274644524751555,96,96
165,xcorr-sq_mean_sig-False,je_gaussian,0.12264032171313835,96,96
166,xcorr-sq_mean_sig-False,je_kozachenko,0.525559038756487,96,96
167,xcorr-sq_mean_sig-False,je_kernel_W-0.5,0.1897885226457327,96,96
168,xcorr-sq_mean_sig-False,ce_gaussian,0.12264032171313835,96,96
169,xcorr-sq_mean_sig-False,ce_kozachenko,0.5236493384018062,96,96
170,xcorr-sq_mean_sig-False,ce_kernel_W-0.5,0.18719889195576195,96,96
171,xcorr-sq_mean_sig-False,cce_gaussian,0.253924754100611,96,96
172,xcorr-sq_mean_sig-False,cce_kozachenko,0.3857498902756038,96,96
173,xcorr-sq_mean_sig-False,cce_kernel_W-0.5,0.6256030911498538,96,96
174,xcorr-sq_mean_sig-False,di_gaussian,0.2406785837326662,96,96
175,xcorr-sq_mean_sig-False,di_kozachenko,0.559239945726939,96,96
176,xcorr-sq_mean_sig-False,di_kernel_W-0.5,0.44281178427811513,96,96
177,xcorr-sq_mean_sig-False,mi_gaussian,0.1226403217131381,96,96
178,xcorr-sq_mean_sig-False,mi_kraskov_NN-4,0.40320716682172286,96,96
179,xcorr-sq_mean_sig-False,mi_kraskov_NN-4_DCE,0.4954975816244046,96,96
180,xcorr-sq_mean_sig-False,mi_kernel_W-0.25,0.21807063964818774,96,96
181,xcorr-sq_mean_sig-False,tlmi_gaussian,0.16394510682357677,96,96
182,xcorr-sq_mean_sig-False,tlmi_kraskov_NN-4,0.7214522847144674,96,96
183,xcorr-sq_mean_sig-False,tlmi_kraskov_NN-4_DCE,0.7879954040570231,96,96
184,xcorr-sq_mean_sig-False,tlmi_kernel_W-0.25,0.32004589654710225,96,96
