feature_index,SPI-1,SPI-2,ks_statistic,n_CauchyNoise,n_CML
0,anm,bary-sq_euclidean_max,0.44471290936740604,64,64
1,anm,bary-sq_euclidean_mean,0.16714211100651444,64,64
2,anm,bary_euclidean_max,0.22789667691268756,64,64
3,anm,bary_euclidean_mean,0.125,64,64
4,anm,cce_gaussian,0.5057433508044995,64,64
5,anm,cce_kernel_W-0.5,0.07912381117408018,64,64
6,anm,cce_kozachenko,0.1779055387907078,64,64
7,anm,cds,0.5757815142852404,64,64
8,anm,ce_gaussian,0.4449374887969523,64,64
9,anm,ce_kernel_W-0.5,0.2465246548664758,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2631286273562322,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.18501004693567424,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.23668704028174553,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.37527632901953034,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.24860220335185357,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3422900649762862,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.07990521068959366,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.06907219778808182,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.05673427755735261,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.3252039406810007,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.08695385618915424,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.31688264397804694,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.04808867894322913,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.19102322567992847,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.17033483591875972,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.21871218284475896,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.11043201049479462,64,64
27,anm,cov-sq_EmpiricalCovariance,0.6666632280420373,64,64
28,anm,cov-sq_GraphicalLasso,0.8234129138650998,64,64
29,anm,cov-sq_LedoitWolf,0.984375,64,64
30,anm,cov-sq_OAS,0.8972024279908741,64,64
31,anm,cov-sq_ShrunkCovariance,0.6666632280420373,64,64
32,anm,cov_EmpiricalCovariance,0.46668328936218695,64,64
33,anm,cov_GraphicalLasso,0.3736475071541575,64,64
34,anm,cov_GraphicalLassoCV,0.5849614366717453,64,64
35,anm,cov_LedoitWolf,0.625,64,64
36,anm,cov_OAS,0.6002801782026981,64,64
37,anm,cov_ShrunkCovariance,0.46668328936218695,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.38249646571562756,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1621510532104703,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3906391279293021,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.2541730649720652,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.13489859145680416,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.24418691935307185,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2991470533073285,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.07621009307036442,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3099645406116146,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.14471033166376518,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.05554500743623625,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.1319548091378595,64,64
50,anm,di_gaussian,0.5846727145785633,64,64
51,anm,di_kernel_W-0.5,0.6926195527158887,64,64
52,anm,di_kozachenko,0.2514465656520273,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.09193948064257618,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.08601375229087876,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.09737592507440246,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4369687448373577,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3561219325749235,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.42389951014418153,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.09766600621087923,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.09245941046850381,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.10245449184134037,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.46981710248316993,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.41945860886229996,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.4780234055478004,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.19905802721565347,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.14683012793014705,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.19214617493027708,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.1738064589414009,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1316417222776386,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.163920949907583,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.280197789792362,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.171875,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.203125,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.15625,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.24565657037384553,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.18134664114831334,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.23061113485101048,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.3094251667669912,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.21135483878679912,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.29877631508215297,64,64
81,anm,gwtau,0.1141010458356142,64,64
82,anm,hsic,0.9052056267197343,64,64
83,anm,hsic_biased,0.8311038829797945,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.18349885605869282,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.15696502968406767,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.20423002553430142,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.23550646588829283,64,64
88,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.19074819342684962,64,64
89,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.2466409522515663,64,64
90,anm,igci,0.9469619320020441,64,64
91,anm,je_gaussian,0.44496002763483244,64,64
92,anm,je_kernel_W-0.5,0.21799775403772476,64,64
