feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_VAR(1)
0,anm,bary-sq_euclidean_max,0.03739544627822833,64,64
1,anm,bary-sq_euclidean_mean,0.025410888974225443,64,64
2,anm,bary_euclidean_max,0.018797887377443145,64,64
3,anm,bary_euclidean_mean,0.171875,64,64
4,anm,cce_gaussian,0.04986389979803105,64,64
5,anm,cce_kernel_W-0.5,0.007627457637536195,64,64
6,anm,cce_kozachenko,0.03981160439260617,64,64
7,anm,cds,0.1204457251542716,64,64
8,anm,ce_gaussian,0.044216408068181556,64,64
9,anm,ce_kernel_W-0.5,0.042647299382010284,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.0063786592528152775,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04190479761884652,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.03835935879270408,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.027973979770766544,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.02219409424726526,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.026767131398281074,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.04546677548401745,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.03355593524122036,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.0408303769098064,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.0712493157173762,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.06232153088596526,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.061494830159919744,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.053510686903477905,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.08323527950559242,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.06759898142693677,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.06260470328617279,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.05388624922160243,64,64
27,anm,cov-sq_EmpiricalCovariance,0.02716697331382828,64,64
28,anm,cov-sq_GraphicalLasso,0.02294656585460042,64,64
29,anm,cov-sq_LedoitWolf,0.4785739271640615,64,64
30,anm,cov-sq_OAS,0.4443052276208818,64,64
31,anm,cov-sq_ShrunkCovariance,0.02716697331382828,64,64
32,anm,cov_EmpiricalCovariance,0.26777325755752657,64,64
33,anm,cov_GraphicalLasso,0.24650378498598802,64,64
34,anm,cov_GraphicalLassoCV,0.43583429378126054,64,64
35,anm,cov_LedoitWolf,0.578596846433219,64,64
36,anm,cov_OAS,0.5778060047630456,64,64
37,anm,cov_ShrunkCovariance,0.26777325755752657,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.009561105166273176,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.005529877388074034,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.00995372062253369,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.0073993078392701195,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.016837697697501985,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.008308799523858823,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.005157861258839158,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.008796735415609797,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.015378447245000482,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.004793279013767693,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.018229387989211365,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.016131586202290993,64,64
50,anm,di_gaussian,0.034266739778473665,64,64
51,anm,di_kernel_W-0.5,0.1322954983143733,64,64
52,anm,di_kozachenko,0.46640479040337285,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.0029051951824833333,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.008110447826672473,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.002118062552068145,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.045416814326720845,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.007962812462174562,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.0699348234743492,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.002979239671287992,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.008207312996474592,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0021189310148772567,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.0581265717181495,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0162427104050111,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.033988341396158694,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.006875461096513769,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0517812354152396,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.05435586126051628,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.008239632392797791,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.013609132614191277,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.004137656368891074,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.05004912109069043,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.171875,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.203125,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.234375,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.011351824087520557,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.05852236514283504,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.06638740225013906,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.022931221010566383,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.02802109905135719,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.030312787620585147,64,64
81,anm,gwtau,0.009624194024789645,64,64
82,anm,hsic,0.225104142577231,64,64
83,anm,hsic_biased,0.09928721244799255,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.005968406925123848,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0380036599598057,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.008290752024528447,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.015078845080811698,64,64
88,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.030205963662330637,64,64
89,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.020044099154026163,64,64
90,anm,igci,0.22745149846449164,64,64
91,anm,je_gaussian,0.044216408068181556,64,64
92,anm,je_kernel_W-0.5,0.04305699715588762,64,64
93,anm,je_kozachenko,0.008614163107327988,64,64
94,anm,kendalltau,0.25723854029248183,64,64
95,anm,kendalltau-sq,0.03243223181416477,64,64
96,anm,lmfit_BayesianRidge,0.044551186396691256,64,64
97,anm,lmfit_ElasticNet,0.023650091107695725,64,64
98,anm,lmfit_Lasso,0.006721060888655428,64,64
99,anm,lmfit_Ridge,0.0435478703795677,64,64
100,anm,lmfit_SGDRegressor,0.03822338315027368,64,64
101,anm,mi_gaussian,0.02716697331382828,64,64
102,anm,mi_kernel_W-0.25,0.03315191200607892,64,64
103,anm,mi_kraskov_NN-4,0.262216142379322,64,64
104,anm,mi_kraskov_NN-4_DCE,0.1885868531369148,64,64
