feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1),n_Wave1D
0,anm,bary-sq_euclidean_max,0.05829431192787021,64,64
1,anm,bary-sq_euclidean_mean,0.012448305149324546,64,64
2,anm,bary_euclidean_max,0.04987604082327368,64,64
3,anm,bary_euclidean_mean,0.1875,64,64
4,anm,cce_gaussian,0.78125,64,64
5,anm,cce_kernel_W-0.5,0.30606529339221755,64,64
6,anm,cce_kozachenko,0.49830599247372376,64,64
7,anm,cds,0.15966008504817386,64,64
8,anm,ce_gaussian,0.984375,64,64
9,anm,ce_kernel_W-0.5,0.1770469982411641,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.07837838056727564,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.14521632630187065,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.13928391059868162,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.07584878886670077,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0785724979028598,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.07528786437409796,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.75,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.734375,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.65625,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.71875,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.010574045018903189,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.030425719055164002,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.15660611258278478,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.6875,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.006480663871652248,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.05010586323182853,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.15306803468951036,64,64
27,anm,cov-sq_EmpiricalCovariance,0.06956571934454792,64,64
28,anm,cov-sq_GraphicalLasso,0.060813787934883234,64,64
29,anm,cov-sq_LedoitWolf,0.06956604660673804,64,64
30,anm,cov-sq_OAS,0.06956617991342628,64,64
31,anm,cov-sq_ShrunkCovariance,0.06956487238749853,64,64
32,anm,cov_EmpiricalCovariance,0.4366906665290919,64,64
33,anm,cov_GraphicalLasso,0.25239951659017323,64,64
34,anm,cov_GraphicalLassoCV,0.39659625594716963,64,64
35,anm,cov_LedoitWolf,0.4366838288716886,64,64
36,anm,cov_OAS,0.436673766081428,64,64
37,anm,cov_ShrunkCovariance,0.43668245530875044,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.17136155227109068,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.13056640127697805,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.14168948561132944,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.31253607329597805,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.13794592522314808,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.19248072708575037,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.6452887817451131,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.5104423011147032,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.5083768285248673,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.7227385440708517,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4995997576351433,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5026189324796466,64,64
50,anm,di_gaussian,0.984375,64,64
51,anm,di_kernel_W-0.5,0.09414141770954854,64,64
52,anm,di_kozachenko,0.1929555014910333,64,64
53,anm,dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.4802807207042101,64,64
54,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0645404963107542,64,64
55,anm,dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.0917240134087067,64,64
56,anm,dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.19097032807817535,64,64
57,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1474614959267136,64,64
58,anm,dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.23957157044977637,64,64
59,anm,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.4813147891856601,64,64
60,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.0673969226900484,64,64
61,anm,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.09616840624669606,64,64
62,anm,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.20624654914001328,64,64
63,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1098887297641079,64,64
64,anm,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.1876553386054666,64,64
65,anm,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1926303452515446,64,64
66,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.11840820713922628,64,64
67,anm,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.15229869989845113,64,64
68,anm,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.24581945915356007,64,64
69,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.11291771526365862,64,64
70,anm,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.19403665150841692,64,64
71,anm,gc_gaussian_k-1_kt-1_l-1_lt-1,0.04289045502409522,64,64
72,anm,gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,0.1875,64,64
73,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,0.15931532781921817,64,64
74,anm,gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,0.2536941648095179,64,64
75,anm,gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.5462191640321044,64,64
76,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.5219023662244014,64,64
77,anm,gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.5272013068524397,64,64
78,anm,gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.6279161945242208,64,64
79,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3738491764210325,64,64
80,anm,gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5070270583851292,64,64
81,anm,gwtau,0.01974433927921354,64,64
82,anm,hsic,0.10031384575346736,64,64
83,anm,hsic_biased,0.09865117251069377,64,64
84,anm,icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.049090788011247166,64,64
85,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.08455222125939893,64,64
86,anm,icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.06820227335601292,64,64
87,anm,icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.06342580654854907,64,64
88,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1093064544117931,64,64
89,anm,icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.09956945117538057,64,64
90,anm,igci,0.1715043081087435,64,64
91,anm,je_gaussian,0.984375,64,64
92,anm,je_kernel_W-0.5,0.0919066757586478,64,64
93,anm,je_kozachenko,0.20454284323442978,64,64
94,anm,kendalltau,0.42845192103274093,64,64
95,anm,kendalltau-sq,0.07508369693117478,64,64
96,anm,lmfit_BayesianRidge,0.10527537962099115,64,64
97,anm,lmfit_ElasticNet,0.17978752704755785,64,64
98,anm,lmfit_Lasso,0.031239366832677362,64,64
99,anm,lmfit_Ridge,0.07890673837486972,64,64
100,anm,lmfit_SGDRegressor,0.07829613606308472,64,64
101,anm,mi_gaussian,0.921875,64,64
102,anm,mi_kernel_W-0.25,0.1197791428832804,64,64
103,anm,mi_kraskov_NN-4,0.12665579281852357,64,64
104,anm,mi_kraskov_NN-4_DCE,0.17821088644304572,64,64
105,anm,pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.6622243544628195,64,64
106,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.5197192541735598,64,64
107,anm,pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.525417446144211,64,64
108,anm,pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.7177904040387848,64,64
109,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.47040955769815046,64,64
110,anm,pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5685824121186263,64,64
111,anm,pdist_braycurtis,0.008789701073541156,64,64
112,anm,pdist_canberra,0.03581883793281471,64,64
113,anm,pdist_chebyshev,0.06484013788832965,64,64
114,anm,pdist_cityblock,0.02344591759307446,64,64
115,anm,pdist_cosine,0.007747810454640902,64,64
