feature_index,SPI-1,SPI-2,ks_statistic,n_Kuramoto,n_CML
0,anm,bary-sq_euclidean_max,0.5,64,64
1,anm,bary-sq_euclidean_mean,0.328125,64,64
2,anm,bary_euclidean_max,0.5,64,64
3,anm,bary_euclidean_mean,0.0,64,64
4,anm,cce_gaussian,0.578125,64,64
5,anm,cce_kernel_W-0.5,0.125,64,64
6,anm,cce_kozachenko,0.3125,64,64
7,anm,cds,0.25,64,64
8,anm,ce_gaussian,0.40625,64,64
9,anm,ce_kernel_W-0.5,0.234375,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.53125,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.375,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.4375,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.65625,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4375,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.625,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.203125,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.1875,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.171875,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.625,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.28125,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.59375,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.171875,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.546875,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.3125,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.546875,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.234375,64,64
27,anm,cov-sq_EmpiricalCovariance,0.671875,64,64
28,anm,cov-sq_GraphicalLasso,0.671875,64,64
29,anm,cov-sq_LedoitWolf,0.671875,64,64
30,anm,cov-sq_OAS,0.671875,64,64
31,anm,cov-sq_ShrunkCovariance,0.671875,64,64
