original_path,entries_before_cleanup,logical_MiB,oldest_file_mtime,newest_file_mtime,spi_mpis_count,timeseries_count,symlink_target
/g/data/ql44/we2614/mts-spi-data-v2/_discarded_smokes,37,3.06,2026-08-24,2026-08-24,6,8,
/g/data/ql44/we2614/mts-spi-data-v2/embeddings/cml_param_sweep_260508,3282,677.83,2026-08-24,2026-08-24,820,820,
/g/data/ql44/we2614/mts-spi-data-v2/embeddings/cross_mt_cml_development_260824,1445,317.52,2026-08-24,2026-08-24,360,360,
/g/data/ql44/we2614/mts-spi-data-v2/embeddings/cross_mt_confirmation_260824,10095,2255.07,2026-08-24,2026-08-24,2520,2520,
/g/data/ql44/we2614/mts-spi-data-v2/embeddings/multi_p90_260701,3611,811.57,2026-08-24,2026-08-24,900,900,
/g/data/ql44/we2614/mts-spi-data/order_parameter/cml2d_confirmation_260911,4268,2038.57,2026-09-11,2026-09-11,1408,0,
/g/data/ql44/we2614/mts-spi-data/order_parameter/cml2d_full_observation_260914,2084,313.13,2026-09-14,2026-09-14,680,0,
/g/data/ql44/we2614/mts-spi-data/order_parameter/cml2d_structure_260914,1990,476.93,2026-09-14,2026-09-14,0,0,
/g/data/ql44/we2614/mts-spi-data/order_parameter/finite_regime_260915,6897,2030.35,2026-09-14,2026-09-14,1512,0,
/g/data/ql44/we2614/mts-spi-data/zenodo_7118947,6328,1219.73,2026-08-25,2026-08-25,2106,0,
/scratch/ql44/we2614/mts-spi-data/260726_r1_demo,100,7.54,2026-07-27,2026-07-27,24,24,
/scratch/ql44/we2614/mts-spi-data/260726_r1_nonlinear,18004,3533.59,2026-07-27,2026-07-27,4500,4500,
/scratch/ql44/we2614/mts-spi-data/260727_r0_297,12004,964.52,2026-07-27,2026-07-27,3000,3000,
/scratch/ql44/we2614/mts-spi-data/260727_r1_probe,40,7.06,2026-07-27,2026-07-27,9,9,
/scratch/ql44/we2614/mts-spi-data/260728_r1b_obs,12004,957.36,2026-07-28,2026-07-28,3000,3000,
/scratch/ql44/we2614/mts-spi-data/embeddings/cml-embedding,2167,452.2,2026-06-29,2026-06-29,540,540,
