step,added_spi,log_loss,accuracy,S_size
2,corr_pearson_tau-1,1.2402895564285852,0.5277777777777778,2
3,corr_spearman_tau-1,0.5951345816566729,0.798611111111111,3
4,xcorr_max_sig-True,0.30573866927482257,0.913888888888889,4
5,corr_spearman_tau-5,0.16859412206235488,0.9708333333333334,5
6,prec-sq_ShrunkCovariance,0.11221122889032789,0.9888888888888889,6
7,pdist_euclidean,0.07892983056347926,0.9916666666666666,7
8,corr_spearman_tau-2,0.059584835243205125,0.9930555555555556,8
9,xme_gaussian_k1,0.04660155110964482,0.9958333333333332,9
10,corr_pearson_tau-5-sq,0.03737732930599301,0.9958333333333333,10
11,dtw,0.030123192258237258,0.9972222222222221,11
12,ce_gaussian,0.025082325430908083,0.9986111111111111,12
13,corr_pearson_tau-2-sq,0.02138960574832632,0.9986111111111111,13
14,xme_gaussian_k10,0.018837152492872156,0.9986111111111111,14
15,cov_MinCovDet,0.016900611046869702,1.0,15
16,bary-sq_euclidean_mean,0.01538946107566099,1.0,16
17,tlmi_gaussian,0.01423675521564793,1.0,17
18,corr_pearson_tau-5,0.012814026590513287,1.0,18
19,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.011979534183549464,1.0,19
20,sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1,0.010856976981666346,1.0,20
