S_size,added_spi,train_ll_mean,train_ll_std,val_ll_mean,val_ll_std,train_acc_mean,val_acc_mean,holdout_ll,holdout_acc
2,corr_pearson_tau-1,1.1092175200927246,0.0016925762780547766,1.1107438539029322,0.00795827557177077,0.5779253241680988,0.5632081097197377,1.0841334014770103,0.6049382716049383
3,corr_spearman_tau-1,0.4503932104322626,0.01045312338592805,0.4591689718697358,0.04432321178670552,0.8607181913540295,0.8611568276684556,0.4950916540813188,0.8641975308641975
4,xcorr_max_sig-True,0.1754484039805222,0.005495725583207169,0.1823809229582149,0.01877556612558726,0.9772364437104322,0.9768395945140131,0.17144283962676046,0.9814814814814815
5,corr_spearman_tau-10,0.09071551431549947,0.0020787910143406263,0.09534328669316408,0.0073233491323683175,0.9949851585689735,0.9938342277877161,0.07727035643998885,1.0
6,pdist_euclidean,0.04910729619851627,0.0013878790225305352,0.05273510137152693,0.005787989335331195,0.9965280722506156,0.9953726893261777,0.03819582820917596,1.0
7,cov_MinCovDet,0.032230717988362335,0.00047327072928320075,0.034673070124997436,0.001953576140068285,1.0,1.0,0.025014410230676132,1.0
8,phi_Geo_t-1_norm-1,0.02053813471967089,0.00041438904611950663,0.02337133028517015,0.004348508538812154,1.0,1.0,0.017217451726377214,1.0
9,prec_ShrunkCovariance,0.014956556135474619,0.0003951502441875482,0.017120431621660603,0.00305601369712934,1.0,1.0,0.012883100485947662,1.0
10,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.011642863998634475,0.00031079199410291374,0.014102510553354972,0.003510293408972638,1.0,1.0,0.011106365199859195,1.0
11,sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1,0.009590422763354551,0.0002065793338231133,0.011167058352667226,0.0018858856095459943,1.0,1.0,0.009010239070327351,1.0
12,dtw,0.007498432271934421,0.00013345590238069929,0.00903375572499449,0.0014521913282073656,1.0,1.0,0.007297888655168373,1.0
13,bary-sq_euclidean_mean,0.006482762899445989,0.00013371955379324634,0.007809103591349747,0.0014953557653767143,1.0,1.0,0.006337552679867289,1.0
14,gc_gaussian_k-1_kt-1_l-1_lt-1,0.005469327610127917,0.00010389880057706544,0.0067348266299434995,0.0015168192296168247,1.0,1.0,0.0055467544915444675,1.0
15,prec_OAS,0.004847864829542714,0.00011185389599364026,0.005879686680764947,0.0011199302534690267,1.0,1.0,0.005268223594012599,1.0
16,xcorr-sq_mean_sig-False,0.004224594563590688,8.817025555466916e-05,0.005223185934450634,0.0010150811149886737,1.0,1.0,0.005567807139623418,1.0
