step,added_spi,log_loss,accuracy,S_size
2,corr_pearson_tau-1,1.1107438539029322,0.5632081097197377,2
3,corr_spearman_tau-1,0.4591689718697358,0.8611568276684556,3
4,xcorr_max_sig-True,0.1823809229582179,0.9768395945140131,4
5,corr_spearman_tau-10,0.09534328669315176,0.9938342277877161,5
6,pdist_euclidean,0.052735101371992846,0.9953726893261777,6
7,cov_MinCovDet,0.034673070125014374,1.0,7
8,phi_Geo_t-1_norm-1,0.023371330285164155,1.0,8
9,prec_ShrunkCovariance,0.01712043162166415,1.0,9
10,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.014102510553354389,1.0,10
11,sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1,0.011167058352667004,1.0,11
12,dtw,0.009033755724983142,1.0,12
13,bary-sq_euclidean_mean,0.00780910359135101,1.0,13
14,gc_gaussian_k-1_kt-1_l-1_lt-1,0.006734826629937291,1.0,14
15,prec_OAS,0.005879686680774658,1.0,15
16,xcorr-sq_mean_sig-False,0.005223185934447798,1.0,16
