S_size,added_spi,train_ll_mean,train_ll_std,val_ll_mean,val_ll_std,train_acc_mean,val_acc_mean,holdout_ll,holdout_acc
2,corr_pearson_tau-1,1.1992700362952549,0.0051336127614514775,1.2061218367226143,0.01734154556641994,0.48455821635012386,0.48302921884317235,1.167591718542297,0.5370370370370371
3,xcorr_max_sig-True,0.6428733032220928,0.008978552889974746,0.6581800307289021,0.03154186460586597,0.7376578064439336,0.7114609421586165,0.6485691670998125,0.7469135802469136
4,cov_EllipticEnvelope,0.28673475642714974,0.004315121842570009,0.3096251569096723,0.024259004766381036,0.9309401060846147,0.9212999403697077,0.2949550899429111,0.9135802469135802
5,corr_pearson_tau-10,0.16442132074653598,0.0030127834405418636,0.17813957539409064,0.01667320827777613,0.9814805722320173,0.975289206917114,0.15175167727529262,0.9753086419753086
6,phi_star_t-1_norm-1,0.08643913974086334,0.003158184283275415,0.11436173419766904,0.029907266656028577,0.9922831997976507,0.9783422778771615,0.07799571233453616,0.9938271604938271
7,prec_ShrunkCovariance,0.042085051591069386,0.001433870858992084,0.0626400140513141,0.01847311589265184,0.9996146435452793,0.9891711389385808,0.06201295562594128,0.9876543209876543
8,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,0.02982920108998969,0.0008154359125833276,0.04284933966472772,0.009067516095579478,1.0,0.9969111508646392,0.0355313734724158,0.9876543209876543
9,pdist_euclidean,0.023091342476973836,0.0005127239710673522,0.03172353855462282,0.002597476394578854,1.0,0.9984615384615385,0.023959545969535454,0.9938271604938271
10,dtw,0.01798425274800789,0.0005140882651167251,0.024126187342132836,0.004813873266871722,1.0,1.0,0.023817930472784053,0.9938271604938271
11,corr_spearman_tau-4,0.0155638423200015,0.0004557766847953009,0.020458678118557568,0.005065959059583517,1.0,1.0,0.019903492722392013,0.9938271604938271
12,si_gaussian_k-1,0.012184423996107831,0.0002712935965509426,0.016905388132646946,0.003545817183891795,1.0,1.0,0.012897925708890486,1.0
13,bary-sq_euclidean_mean,0.010701498244366553,0.00025153839613767105,0.014967768960622685,0.003165466588798846,1.0,1.0,0.01117795875822821,1.0
14,corr_kendall_tau-4,0.009689593963859199,0.0003394505593727955,0.013193635758625671,0.003017388111571837,1.0,1.0,0.01012311792033684,1.0
15,tlmi_gaussian,0.008426426643549737,0.0002898077520416747,0.011760973447099126,0.002977908180478862,1.0,1.0,0.010342184138685998,1.0
16,ce_gaussian,0.007321580084719706,0.00021204883555451623,0.010538210269594677,0.0029314457377116925,1.0,1.0,0.012068146899086574,0.9938271604938271
17,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.0065282326608845365,0.00016796330035417461,0.00935072158063289,0.0021091434608397526,1.0,1.0,0.011486122640413148,0.9938271604938271
18,corr_pearson_tau-1-sq,0.006010146753368438,0.00013842222735673088,0.00857683700380548,0.001955064338547967,1.0,1.0,0.012244827170552605,0.9938271604938271
19,corr_kendall_tau-10,0.0055320181059861934,0.00013717606607376197,0.007873520384570768,0.0015919271514792453,1.0,1.0,0.010403644821952376,0.9938271604938271
