step,added_spi,log_loss,accuracy,S_size
2,corr_pearson_tau-1,1.2061218367226143,0.48302921884317235,2
3,xcorr_max_sig-True,0.6581800307289021,0.7114609421586165,3
4,cov_EllipticEnvelope,0.30962515690966214,0.9212999403697077,4
5,corr_pearson_tau-10,0.17813957539416814,0.975289206917114,5
6,phi_star_t-1_norm-1,0.1143617341976277,0.9783422778771615,6
7,prec_ShrunkCovariance,0.06264001405134131,0.9891711389385808,7
8,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,0.042849339664727246,0.9969111508646392,8
9,pdist_euclidean,0.03172353855459485,0.9984615384615385,9
10,dtw,0.024126187342519333,1.0,10
11,corr_spearman_tau-4,0.02045867811856303,1.0,11
12,si_gaussian_k-1,0.016905388132650957,1.0,12
13,bary-sq_euclidean_mean,0.01496776896347396,1.0,13
14,corr_kendall_tau-4,0.013193635758715511,1.0,14
15,tlmi_gaussian,0.011760973447045003,1.0,15
16,ce_gaussian,0.01053821026849919,1.0,16
17,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.009350721580617342,1.0,17
18,corr_pearson_tau-1-sq,0.008576837003807241,1.0,18
19,corr_kendall_tau-10,0.007873520384572641,1.0,19
