system,method,n,seeds,evaluated_available,abs_rho,low,high,difference_vs_q,difference_low,difference_high,control_mean_abs_rho,within_control_abs_rho
Kuramoto,q,128,8,128,0.8261135780992492,0.7017933799624525,0.9422266238390669,0.0,0.0,0.0,0.9970588235294118,0.607226240615272
Kuramoto,mean_PC1,128,8,128,0.9939228163340048,0.9851840137845762,0.9951106123757614,0.16780923823475558,0.049645786452147234,0.2857796583864998,1.0,0.9524240065921991
Kuramoto,distribution_PC1,128,8,128,0.9939399835195019,0.9860593636040511,0.9952820518103641,0.16782640542025262,0.04921920461341173,0.2867170110635246,1.0,0.9549189708844534
Kuramoto,mean+z_PC1,128,8,128,0.9932189617286211,0.9831431155272676,0.9953756859452375,0.16710538362937188,0.052032941617174575,0.2825718226798382,1.0,0.9333283739241897
Kuramoto,z_standard_PC1,128,8,128,0.9638974088994688,0.91075189538139,0.978899810828264,0.1377838308002196,0.027233389807225672,0.24346422166051432,0.9970588235294118,0.8759213056216808
Kuramoto,mean_correlation,128,8,128,0.9988841329426844,0.9975725821913126,0.9993130012222957,0.17277055484343518,0.05632399431989984,0.2971294187004898,1.0,0.9739116004394799
Kuramoto,mean_abs_correlation,128,8,128,0.9978026002563632,0.9956153656314783,0.998872130513138,0.171689022157114,0.05608259769101532,0.294527708457347,1.0,0.9829701519868155
Kuramoto,temporal_spectral_entropy,128,8,128,0.4917025270097052,0.3393183295789429,0.5764480311355311,-0.33441105108954405,-0.49257006313385626,-0.255485053686746,0.6147058823529412,0.45389466214978935
Kuramoto,analytic_phase_coherence,128,8,128,0.9988097418055301,0.9977676322633449,0.999198645481865,0.17269616370628083,0.056366063789695296,0.2971401506479235,1.0,0.9948097875846914
CML2D,q,544,32,544,0.8830182800475858,0.8674169939669414,0.8986646687595388,0.0,0.0,0.0,1.0,0.07846377235064535
CML2D,mean_PC1,544,32,544,0.972620254447767,0.9691335512444207,0.975803624159292,0.08960197440018125,0.07492164465686993,0.10495715225289265,1.0,0.10470105219846565
CML2D,distribution_PC1,544,32,544,0.9730020453617099,0.9696035910419387,0.9762088592347783,0.08998376531412411,0.07527887123815281,0.10530561220384804,1.0,0.10632772598116239
CML2D,mean+z_PC1,544,32,544,0.9539687769273658,0.9466659921011852,0.9602381956620659,0.07095049687978006,0.05933526393273542,0.08235226826308077,1.0,0.09630962780976346
CML2D,z_standard_PC1,544,32,544,0.9412108332612784,0.9341284198358784,0.9483112745860355,0.058192553213692655,0.04647749039559985,0.06965707502816622,1.0,0.09272785955580468
CML2D,mean_correlation,544,32,544,0.889484500272814,0.8763065802206256,0.902732603038486,0.0064662202252282475,-0.005985665418172847,0.019269931918784292,0.9950980392156863,0.08918947324482024
CML2D,mean_abs_correlation,544,32,544,0.9663656516385254,0.9620515672702364,0.9703799919680391,0.08334737159093963,0.06782654598751475,0.09936040918427508,1.0,0.12244143437698458
CML2D,temporal_spectral_entropy,544,32,544,0.9718617413005041,0.968399279946787,0.9750498484582606,0.08884346125291831,0.072830305950021,0.10533603496441366,1.0,0.09307774759759443
CML2D,sample_period2,544,32,544,0.8942164863309607,0.8814761221956375,0.9074989173418779,0.011198206283374978,-0.0008981378667535594,0.02367368857874818,0.9950980392156863,0.10080584567954608
