system,method,interval_start,interval_end
Kuramoto,Q_reference,1.0225,1.0575
Kuramoto,q,1.0575,1.0875
Kuramoto,mean_PC1,0.9925,1.0075
Kuramoto,distribution_PC1,0.9925,1.0075
Kuramoto,mean+z_PC1,0.9925,1.0075
Kuramoto,z_standard_PC1,0.825,0.8875
Kuramoto,mean_correlation,0.9925,1.0075
Kuramoto,mean_abs_correlation,0.9925,1.0075
Kuramoto,temporal_spectral_entropy,0.9925,1.0075
CML2D,Q_reference,3.86212,3.86306
CML2D,q,3.86212,3.86306
CML2D,mean_PC1,3.86006,3.86212
CML2D,distribution_PC1,3.86212,3.86306
CML2D,mean+z_PC1,3.86212,3.86306
CML2D,z_standard_PC1,3.86212,3.86306
CML2D,mean_correlation,3.86212,3.86306
CML2D,mean_abs_correlation,3.86006,3.86212
CML2D,temporal_spectral_entropy,3.86006,3.86212
