method,scope,rows,balanced_accuracy,BA_low,BA_high,hard_mAP,mAP_low,mAP_high,hard_top1
pearson,all14,2520,0.4392857142857144,0.42539682539682555,0.45277777777777783,0.3452834697170413,0.3416771107028955,0.3491291254962288,0.3682539682539683
pearson,CML5,900,0.8222222222222223,0.8000000000000002,0.8444444444444444,0.5799470230536581,0.5707026705580432,0.5889632040740752,0.6577777777777778
mean,all14,2520,0.9067460317460317,0.9003968253968253,0.9126984126984126,0.6979294371912604,0.693321166668352,0.7021493586182136,0.8337301587301588
mean,CML5,900,0.9755555555555556,0.9644444444444444,0.9855555555555555,0.7414263114547162,0.7325192679198009,0.7507926497591814,0.9755555555555555
distribution,all14,2520,0.9249999999999999,0.9190476190476189,0.9309523809523808,0.7135197189582807,0.7091849424228924,0.7176661832745175,0.8452380952380952
distribution,CML5,900,0.9855555555555554,0.9766666666666666,0.9922222222222221,0.7661805325088233,0.7575126543137167,0.775274400006426,0.9888888888888889
z,all14,2520,0.9833333333333333,0.9789682539682537,0.9876984126984124,0.8184296358131633,0.8150319455619192,0.8217846386821911,0.9253968253968254
z,CML5,900,0.9911111111111112,0.9855555555555555,0.9955555555555555,0.9398958110583978,0.9339575271950944,0.9456995744974633,0.9866666666666667
mean+z,all14,2520,0.975,0.9698412698412696,0.9801587301587299,0.8105278849224148,0.8069578801325566,0.8139705182985791,0.890079365079365
mean+z,CML5,900,0.9833333333333334,0.9755555555555555,0.991111111111111,0.9198311184098222,0.9127754595808956,0.9269306159160637,0.9933333333333333
distribution+z,all14,2520,0.9773809523809522,0.9730158730158728,0.9821428571428569,0.8234071478342461,0.8199689059559071,0.8268060608475373,0.9003968253968254
distribution+z,CML5,900,0.9888888888888889,0.9833333333333334,0.9944444444444445,0.9274180791715895,0.9205139087178473,0.9341590181902377,0.9966666666666667
