scope,comparison,metric,difference,low,high
all14,z - mean,correct,0.07658730158730159,0.06984126984126984,0.08373015873015874
all14,z - mean,ap,0.12050019862190285,0.11624129402336769,0.12491501529408269
all14,z - distribution,correct,0.05833333333333334,0.05238095238095237,0.06429563492063489
all14,z - distribution,ap,0.10490991685488256,0.10085574047792113,0.1090721976378713
all14,mean+z - mean,correct,0.06825396825396826,0.06150793650793652,0.0753968253968254
all14,mean+z - mean,ap,0.11259844773115442,0.10963245992766461,0.11576420423608295
all14,distribution+z - distribution,correct,0.05238095238095238,0.04602182539682539,0.05873015873015872
all14,distribution+z - distribution,ap,0.10988742887596545,0.10703735666084366,0.11293741332237926
CML5,z - mean,correct,0.015555555555555553,0.006666666666666666,0.025555555555555554
CML5,z - mean,ap,0.19846949960368157,0.19079718762264244,0.2061825864790893
CML5,z - distribution,correct,0.005555555555555556,-0.002222222222222225,0.014444444444444444
CML5,z - distribution,ap,0.1737152785495745,0.16626347944949835,0.18100734262111298
CML5,mean+z - mean,correct,0.0077777777777777776,0.0011111111111111118,0.015555555555555555
CML5,mean+z - mean,ap,0.17840480695510613,0.17246441707649215,0.1844810547941413
CML5,distribution+z - distribution,correct,0.0033333333333333335,-0.003333333333333333,0.010000000000000004
CML5,distribution+z - distribution,ap,0.1612375466627663,0.15502466173190912,0.1673029893371583
