class,M,T,I,n_pcs_95
var-ring-sym,5,500,0,4
var-ring-sym,5,500,1,4
var-ring-sym,5,500,2,5
var-ring-sym,5,500,3,4
var-ring-sym,5,500,4,4
var-ring-sym,5,500,5,4
var-ring-sym,5,500,6,4
var-ring-sym,5,500,7,4
var-ring-sym,5,500,8,4
var-ring-sym,5,500,9,4
var-ring-sym,5,1000,0,4
var-ring-sym,5,1000,1,4
var-ring-sym,5,1000,2,4
var-ring-sym,5,1000,3,4
var-ring-sym,5,1000,4,4
var-ring-sym,5,1000,5,4
var-ring-sym,5,1000,6,4
var-ring-sym,5,1000,7,4
var-ring-sym,5,1000,8,4
var-ring-sym,5,1000,9,4
var-ring-sym,5,2000,0,4
var-ring-sym,5,2000,1,3
var-ring-sym,5,2000,2,4
var-ring-sym,5,2000,3,4
var-ring-sym,5,2000,4,4
var-ring-sym,5,2000,5,4
var-ring-sym,5,2000,6,4
var-ring-sym,5,2000,7,4
var-ring-sym,5,2000,8,4
var-ring-sym,5,2000,9,4
var-ring-sym,10,500,0,8
var-ring-sym,10,500,1,8
var-ring-sym,10,500,2,7
var-ring-sym,10,500,3,8
var-ring-sym,10,500,4,8
var-ring-sym,10,500,5,9
var-ring-sym,10,500,6,9
var-ring-sym,10,500,7,8
var-ring-sym,10,500,8,8
var-ring-sym,10,500,9,8
var-ring-sym,10,1000,0,9
var-ring-sym,10,1000,1,8
var-ring-sym,10,1000,2,9
var-ring-sym,10,1000,3,9
var-ring-sym,10,1000,4,8
var-ring-sym,10,1000,5,8
var-ring-sym,10,1000,6,8
var-ring-sym,10,1000,7,8
var-ring-sym,10,1000,8,9
var-ring-sym,10,1000,9,9
var-ring-sym,10,2000,0,8
var-ring-sym,10,2000,1,8
var-ring-sym,10,2000,2,9
var-ring-sym,10,2000,3,8
var-ring-sym,10,2000,4,8
var-ring-sym,10,2000,5,8
var-ring-sym,10,2000,6,8
var-ring-sym,10,2000,7,8
var-ring-sym,10,2000,8,9
var-ring-sym,10,2000,9,9
var-ring-sym,20,500,0,16
var-ring-sym,20,500,1,16
var-ring-sym,20,500,2,16
var-ring-sym,20,500,3,16
var-ring-sym,20,500,4,16
var-ring-sym,20,500,5,15
var-ring-sym,20,500,6,16
var-ring-sym,20,500,7,17
var-ring-sym,20,500,8,16
var-ring-sym,20,500,9,16
var-ring-sym,20,1000,0,16
var-ring-sym,20,1000,1,17
var-ring-sym,20,1000,2,16
var-ring-sym,20,1000,3,17
var-ring-sym,20,1000,4,17
var-ring-sym,20,1000,5,16
var-ring-sym,20,1000,6,17
var-ring-sym,20,1000,7,16
var-ring-sym,20,1000,8,16
var-ring-sym,20,1000,9,16
var-ring-sym,20,2000,0,17
var-ring-sym,20,2000,1,17
var-ring-sym,20,2000,2,17
var-ring-sym,20,2000,3,16
var-ring-sym,20,2000,4,17
var-ring-sym,20,2000,5,16
var-ring-sym,20,2000,6,16
var-ring-sym,20,2000,7,16
var-ring-sym,20,2000,8,16
var-ring-sym,20,2000,9,17
kuramoto,5,500,0,4
kuramoto,5,500,1,5
kuramoto,5,500,2,5
kuramoto,5,500,3,4
kuramoto,5,500,4,4
kuramoto,5,500,5,4
kuramoto,5,500,6,5
kuramoto,5,500,7,4
kuramoto,5,500,8,4
kuramoto,5,500,9,3
kuramoto,5,1000,0,3
kuramoto,5,1000,1,5
kuramoto,5,1000,2,4
kuramoto,5,1000,3,4
kuramoto,5,1000,4,4
kuramoto,5,1000,5,4
kuramoto,5,1000,6,5
kuramoto,5,1000,7,5
kuramoto,5,1000,8,4
kuramoto,5,1000,9,5
kuramoto,5,2000,0,4
kuramoto,5,2000,1,5
kuramoto,5,2000,2,4
kuramoto,5,2000,3,4
kuramoto,5,2000,4,4
kuramoto,5,2000,5,5
kuramoto,5,2000,6,4
kuramoto,5,2000,7,3
kuramoto,5,2000,8,4
kuramoto,5,2000,9,4
kuramoto,10,500,0,7
kuramoto,10,500,1,10
kuramoto,10,500,2,7
kuramoto,10,500,3,7
kuramoto,10,500,4,7
kuramoto,10,500,5,8
kuramoto,10,500,6,9
kuramoto,10,500,7,7
kuramoto,10,500,8,6
kuramoto,10,500,9,7
kuramoto,10,1000,0,8
kuramoto,10,1000,1,7
kuramoto,10,1000,2,9
kuramoto,10,1000,3,8
kuramoto,10,1000,4,8
kuramoto,10,1000,5,10
kuramoto,10,1000,6,8
kuramoto,10,1000,7,7
kuramoto,10,1000,8,9
kuramoto,10,1000,9,7
kuramoto,10,2000,0,6
kuramoto,10,2000,1,9
kuramoto,10,2000,2,7
kuramoto,10,2000,3,9
kuramoto,10,2000,4,8
kuramoto,10,2000,5,8
kuramoto,10,2000,6,7
kuramoto,10,2000,7,7
kuramoto,10,2000,8,7
kuramoto,10,2000,9,8
kuramoto,20,500,0,13
kuramoto,20,500,1,15
kuramoto,20,500,2,15
kuramoto,20,500,3,15
kuramoto,20,500,4,14
kuramoto,20,500,5,15
kuramoto,20,500,6,16
kuramoto,20,500,7,15
kuramoto,20,500,8,15
kuramoto,20,500,9,15
kuramoto,20,1000,0,14
kuramoto,20,1000,1,15
kuramoto,20,1000,2,15
kuramoto,20,1000,3,15
kuramoto,20,1000,4,15
kuramoto,20,1000,5,13
kuramoto,20,1000,6,14
kuramoto,20,1000,7,14
kuramoto,20,1000,8,15
kuramoto,20,1000,9,18
kuramoto,20,2000,0,13
kuramoto,20,2000,1,15
kuramoto,20,2000,2,18
kuramoto,20,2000,3,15
kuramoto,20,2000,4,15
kuramoto,20,2000,5,13
kuramoto,20,2000,6,16
kuramoto,20,2000,7,15
kuramoto,20,2000,8,13
kuramoto,20,2000,9,15
cauchy-noise,5,500,0,5
cauchy-noise,5,500,1,5
cauchy-noise,5,500,2,5
cauchy-noise,5,500,3,5
