connectivity,output,K,omega_std,eta,n_pcs_median,n_pcs_min,n_pcs_max,pass_rate
bidirectional-list,sin,-8.0,0.01,0.0,2,2,2,0.0
bidirectional-list,sin,-8.0,0.01,0.1,2,2,2,0.0
bidirectional-list,sin,-8.0,0.1,0.0,2,2,2,0.0
bidirectional-list,sin,-8.0,0.1,0.1,2,1,2,0.0
bidirectional-list,sin,-8.0,0.5,0.0,2,1,2,0.0
bidirectional-list,sin,-8.0,0.5,0.1,2,1,2,0.0
bidirectional-list,sin,-4.0,0.01,0.0,2,2,2,0.0
bidirectional-list,sin,-4.0,0.01,0.1,2,2,2,0.0
bidirectional-list,sin,-4.0,0.1,0.0,2,2,2,0.0
bidirectional-list,sin,-4.0,0.1,0.1,2,1,2,0.0
bidirectional-list,sin,-4.0,0.5,0.0,2,1,2,0.0
bidirectional-list,sin,-4.0,0.5,0.1,2,1,2,0.0
bidirectional-list,sin,-1.0,0.01,0.0,2,1,2,0.0
bidirectional-list,sin,-1.0,0.01,0.1,2,2,2,0.0
bidirectional-list,sin,-1.0,0.1,0.0,2,2,2,0.0
bidirectional-list,sin,-1.0,0.1,0.1,2,2,2,0.0
bidirectional-list,sin,-1.0,0.5,0.0,2,2,2,0.0
bidirectional-list,sin,-1.0,0.5,0.1,2,2,2,0.0
bidirectional-list,sin,1.0,0.01,0.0,2,1,2,0.0
bidirectional-list,sin,1.0,0.01,0.1,2,1,2,0.0
bidirectional-list,sin,1.0,0.1,0.0,2,2,2,0.0
bidirectional-list,sin,1.0,0.1,0.1,2,2,2,0.0
bidirectional-list,sin,1.0,0.5,0.0,2,1,2,0.0
bidirectional-list,sin,1.0,0.5,0.1,2,1,2,0.0
bidirectional-list,sin,4.0,0.01,0.0,2,2,2,0.0
bidirectional-list,sin,4.0,0.01,0.1,2,2,2,0.0
bidirectional-list,sin,4.0,0.1,0.0,2,1,2,0.0
bidirectional-list,sin,4.0,0.1,0.1,2,1,2,0.0
bidirectional-list,sin,4.0,0.5,0.0,1,1,2,0.0
bidirectional-list,sin,4.0,0.5,0.1,1,1,2,0.0
