connectivity,output,K,omega_mean_hz,omega_std_frac,eta,n_pcs_median,n_pcs_min,n_pcs_max,pass_rate
bidirectional-list,sin,0.1,0.1,0.1,0.0,2,2,4,0.4
bidirectional-list,sin,0.1,0.1,0.1,0.05,3,2,4,0.6
bidirectional-list,sin,0.1,0.1,0.3,0.0,5,4,7,1.0
bidirectional-list,sin,0.1,0.1,0.3,0.05,5,4,8,1.0
bidirectional-list,sin,0.1,0.1,0.6,0.0,7,4,9,1.0
bidirectional-list,sin,0.1,0.1,0.6,0.05,7,5,8,1.0
bidirectional-list,sin,0.1,0.5,0.1,0.0,6,5,9,1.0
bidirectional-list,sin,0.1,0.5,0.1,0.05,6,5,9,1.0
bidirectional-list,sin,0.1,0.5,0.3,0.0,9,7,10,1.0
bidirectional-list,sin,0.1,0.5,0.3,0.05,9,7,10,1.0
bidirectional-list,sin,0.1,0.5,0.6,0.0,10,8,10,1.0
bidirectional-list,sin,0.1,0.5,0.6,0.05,10,9,10,1.0
bidirectional-list,sin,0.3,0.1,0.1,0.0,2,2,2,0.0
bidirectional-list,sin,0.3,0.1,0.1,0.05,2,2,2,0.0
bidirectional-list,sin,0.3,0.1,0.3,0.0,3,2,5,0.6
bidirectional-list,sin,0.3,0.1,0.3,0.05,3,2,5,0.6
bidirectional-list,sin,0.3,0.1,0.6,0.0,6,5,7,1.0
bidirectional-list,sin,0.3,0.1,0.6,0.05,6,5,8,1.0
bidirectional-list,sin,0.3,0.5,0.1,0.0,6,3,6,1.0
bidirectional-list,sin,0.3,0.5,0.1,0.05,5,3,7,1.0
bidirectional-list,sin,0.3,0.5,0.3,0.0,8,6,9,1.0
bidirectional-list,sin,0.3,0.5,0.3,0.05,8,6,9,1.0
bidirectional-list,sin,0.3,0.5,0.6,0.0,9,8,10,1.0
bidirectional-list,sin,0.3,0.5,0.6,0.05,9,8,10,1.0
bidirectional-list,sin,0.5,0.1,0.1,0.0,1,1,2,0.0
bidirectional-list,sin,0.5,0.1,0.1,0.05,1,1,2,0.0
bidirectional-list,sin,0.5,0.1,0.3,0.0,2,2,4,0.2
bidirectional-list,sin,0.5,0.1,0.3,0.05,2,2,4,0.2
bidirectional-list,sin,0.5,0.1,0.6,0.0,4,2,6,0.8
bidirectional-list,sin,0.5,0.1,0.6,0.05,4,2,6,0.8
bidirectional-list,sin,0.5,0.5,0.1,0.0,4,2,5,0.6
bidirectional-list,sin,0.5,0.5,0.1,0.05,4,2,6,0.8
bidirectional-list,sin,0.5,0.5,0.3,0.0,7,5,8,1.0
bidirectional-list,sin,0.5,0.5,0.3,0.05,7,5,8,1.0
bidirectional-list,sin,0.5,0.5,0.6,0.0,9,8,10,1.0
bidirectional-list,sin,0.5,0.5,0.6,0.05,9,8,10,1.0
bidirectional-list,sin,1.0,0.1,0.1,0.0,1,1,2,0.0
bidirectional-list,sin,1.0,0.1,0.1,0.05,1,1,2,0.0
bidirectional-list,sin,1.0,0.1,0.3,0.0,2,2,2,0.0
bidirectional-list,sin,1.0,0.1,0.3,0.05,2,2,2,0.0
bidirectional-list,sin,1.0,0.1,0.6,0.0,2,2,4,0.2
bidirectional-list,sin,1.0,0.1,0.6,0.05,2,2,4,0.2
bidirectional-list,sin,1.0,0.5,0.1,0.0,2,2,2,0.0
bidirectional-list,sin,1.0,0.5,0.1,0.05,2,2,2,0.0
bidirectional-list,sin,1.0,0.5,0.3,0.0,5,3,7,1.0
bidirectional-list,sin,1.0,0.5,0.3,0.05,5,3,7,1.0
bidirectional-list,sin,1.0,0.5,0.6,0.0,8,5,9,1.0
bidirectional-list,sin,1.0,0.5,0.6,0.05,8,5,8,1.0
bidirectional-list,sin,2.0,0.1,0.1,0.0,1,1,2,0.0
bidirectional-list,sin,2.0,0.1,0.1,0.05,1,1,2,0.0
bidirectional-list,sin,2.0,0.1,0.3,0.0,2,1,2,0.0
bidirectional-list,sin,2.0,0.1,0.3,0.05,2,1,2,0.0
bidirectional-list,sin,2.0,0.1,0.6,0.0,2,2,2,0.0
bidirectional-list,sin,2.0,0.1,0.6,0.05,2,2,2,0.0
bidirectional-list,sin,2.0,0.5,0.1,0.0,2,1,2,0.0
bidirectional-list,sin,2.0,0.5,0.1,0.05,2,1,2,0.0
bidirectional-list,sin,2.0,0.5,0.3,0.0,2,2,4,0.4
bidirectional-list,sin,2.0,0.5,0.3,0.05,3,2,4,0.6
bidirectional-list,sin,2.0,0.5,0.6,0.0,5,3,7,1.0
bidirectional-list,sin,2.0,0.5,0.6,0.05,5,3,7,1.0
bidirectional-list,sin,4.0,0.1,0.1,0.0,2,1,2,0.0
bidirectional-list,sin,4.0,0.1,0.1,0.05,1,1,2,0.0
bidirectional-list,sin,4.0,0.1,0.3,0.0,1,1,2,0.0
bidirectional-list,sin,4.0,0.1,0.3,0.05,1,1,2,0.0
bidirectional-list,sin,4.0,0.1,0.6,0.0,2,1,2,0.0
bidirectional-list,sin,4.0,0.1,0.6,0.05,2,1,2,0.0
bidirectional-list,sin,4.0,0.5,0.1,0.0,2,1,2,0.0
bidirectional-list,sin,4.0,0.5,0.1,0.05,2,1,2,0.0
bidirectional-list,sin,4.0,0.5,0.3,0.0,2,2,2,0.0
bidirectional-list,sin,4.0,0.5,0.3,0.05,2,2,2,0.0
bidirectional-list,sin,4.0,0.5,0.6,0.0,2,2,4,0.4
bidirectional-list,sin,4.0,0.5,0.6,0.05,3,2,4,0.6
bidirectional-list,phase,0.1,0.1,0.1,0.0,6,6,8,1.0
bidirectional-list,phase,0.1,0.1,0.1,0.05,7,6,8,1.0
bidirectional-list,phase,0.1,0.1,0.3,0.0,8,7,9,1.0
bidirectional-list,phase,0.1,0.1,0.3,0.05,8,8,9,1.0
bidirectional-list,phase,0.1,0.1,0.6,0.0,9,8,9,1.0
bidirectional-list,phase,0.1,0.1,0.6,0.05,8,8,9,1.0
bidirectional-list,phase,0.1,0.5,0.1,0.0,8,8,10,1.0
bidirectional-list,phase,0.1,0.5,0.1,0.05,9,8,9,1.0
bidirectional-list,phase,0.1,0.5,0.3,0.0,9,9,10,1.0
bidirectional-list,phase,0.1,0.5,0.3,0.05,9,9,10,1.0
bidirectional-list,phase,0.1,0.5,0.6,0.0,10,9,10,1.0
bidirectional-list,phase,0.1,0.5,0.6,0.05,10,9,10,1.0
bidirectional-list,phase,0.3,0.1,0.1,0.0,4,4,5,1.0
bidirectional-list,phase,0.3,0.1,0.1,0.05,4,4,6,1.0
bidirectional-list,phase,0.3,0.1,0.3,0.0,7,5,8,1.0
bidirectional-list,phase,0.3,0.1,0.3,0.05,7,6,9,1.0
bidirectional-list,phase,0.3,0.1,0.6,0.0,8,7,9,1.0
bidirectional-list,phase,0.3,0.1,0.6,0.05,8,7,9,1.0
bidirectional-list,phase,0.3,0.5,0.1,0.0,8,7,8,1.0
bidirectional-list,phase,0.3,0.5,0.1,0.05,8,7,9,1.0
bidirectional-list,phase,0.3,0.5,0.3,0.0,9,9,10,1.0
bidirectional-list,phase,0.3,0.5,0.3,0.05,9,8,10,1.0
bidirectional-list,phase,0.3,0.5,0.6,0.0,9,9,10,1.0
bidirectional-list,phase,0.3,0.5,0.6,0.05,9,9,10,1.0
bidirectional-list,phase,0.5,0.1,0.1,0.0,4,3,8,1.0
bidirectional-list,phase,0.5,0.1,0.1,0.05,4,3,8,1.0
bidirectional-list,phase,0.5,0.1,0.3,0.0,6,5,8,1.0
bidirectional-list,phase,0.5,0.1,0.3,0.05,6,5,8,1.0
bidirectional-list,phase,0.5,0.1,0.6,0.0,7,5,8,1.0
bidirectional-list,phase,0.5,0.1,0.6,0.05,7,6,8,1.0
bidirectional-list,phase,0.5,0.5,0.1,0.0,8,5,8,1.0
bidirectional-list,phase,0.5,0.5,0.1,0.05,8,6,8,1.0
bidirectional-list,phase,0.5,0.5,0.3,0.0,9,7,9,1.0
bidirectional-list,phase,0.5,0.5,0.3,0.05,9,7,9,1.0
bidirectional-list,phase,0.5,0.5,0.6,0.0,9,9,10,1.0
bidirectional-list,phase,0.5,0.5,0.6,0.05,9,9,10,1.0
bidirectional-list,phase,1.0,0.1,0.1,0.0,3,2,8,0.6
bidirectional-list,phase,1.0,0.1,0.1,0.05,4,2,8,0.6
bidirectional-list,phase,1.0,0.1,0.3,0.0,4,4,7,1.0
bidirectional-list,phase,1.0,0.1,0.3,0.05,4,4,8,1.0
bidirectional-list,phase,1.0,0.1,0.6,0.0,6,5,8,1.0
bidirectional-list,phase,1.0,0.1,0.6,0.05,6,5,8,1.0
bidirectional-list,phase,1.0,0.5,0.1,0.0,5,4,6,1.0
bidirectional-list,phase,1.0,0.5,0.1,0.05,5,5,6,1.0
bidirectional-list,phase,1.0,0.5,0.3,0.0,7,7,9,1.0
bidirectional-list,phase,1.0,0.5,0.3,0.05,7,7,9,1.0
bidirectional-list,phase,1.0,0.5,0.6,0.0,9,7,9,1.0
bidirectional-list,phase,1.0,0.5,0.6,0.05,9,7,9,1.0
bidirectional-list,phase,2.0,0.1,0.1,0.0,2,1,8,0.4
bidirectional-list,phase,2.0,0.1,0.1,0.05,2,2,8,0.4
bidirectional-list,phase,2.0,0.1,0.3,0.0,4,2,8,0.8
bidirectional-list,phase,2.0,0.1,0.3,0.05,4,3,8,1.0
bidirectional-list,phase,2.0,0.1,0.6,0.0,4,4,8,1.0
bidirectional-list,phase,2.0,0.1,0.6,0.05,4,4,7,1.0
bidirectional-list,phase,2.0,0.5,0.1,0.0,4,3,8,1.0
bidirectional-list,phase,2.0,0.5,0.1,0.05,4,3,8,1.0
bidirectional-list,phase,2.0,0.5,0.3,0.0,6,5,8,1.0
bidirectional-list,phase,2.0,0.5,0.3,0.05,7,5,8,1.0
bidirectional-list,phase,2.0,0.5,0.6,0.0,7,7,9,1.0
bidirectional-list,phase,2.0,0.5,0.6,0.05,7,7,9,1.0
bidirectional-list,phase,4.0,0.1,0.1,0.0,8,1,8,0.6
bidirectional-list,phase,4.0,0.1,0.1,0.05,2,1,8,0.4
bidirectional-list,phase,4.0,0.1,0.3,0.0,3,2,8,0.6
bidirectional-list,phase,4.0,0.1,0.3,0.05,3,2,8,0.6
bidirectional-list,phase,4.0,0.1,0.6,0.0,4,3,8,1.0
bidirectional-list,phase,4.0,0.1,0.6,0.05,4,3,8,1.0
bidirectional-list,phase,4.0,0.5,0.1,0.0,4,2,8,0.6
bidirectional-list,phase,4.0,0.5,0.1,0.05,4,2,8,0.6
bidirectional-list,phase,4.0,0.5,0.3,0.0,5,4,5,1.0
bidirectional-list,phase,4.0,0.5,0.3,0.05,4,4,5,1.0
bidirectional-list,phase,4.0,0.5,0.6,0.0,6,5,8,1.0
bidirectional-list,phase,4.0,0.5,0.6,0.05,7,5,8,1.0
all-to-all,sin,0.1,0.1,0.1,0.0,2,2,5,0.4
all-to-all,sin,0.1,0.1,0.1,0.05,2,2,4,0.4
all-to-all,sin,0.1,0.1,0.3,0.0,5,4,8,1.0
all-to-all,sin,0.1,0.1,0.3,0.05,5,4,8,1.0
all-to-all,sin,0.1,0.1,0.6,0.0,7,6,9,1.0
all-to-all,sin,0.1,0.1,0.6,0.05,6,6,9,1.0
all-to-all,sin,0.1,0.5,0.1,0.0,6,6,9,1.0
all-to-all,sin,0.1,0.5,0.1,0.05,6,6,9,1.0
all-to-all,sin,0.1,0.5,0.3,0.0,9,8,10,1.0
all-to-all,sin,0.1,0.5,0.3,0.05,9,8,10,1.0
all-to-all,sin,0.1,0.5,0.6,0.0,10,9,10,1.0
all-to-all,sin,0.1,0.5,0.6,0.05,9,8,10,1.0
all-to-all,sin,0.3,0.1,0.1,0.0,1,1,1,0.0
all-to-all,sin,0.3,0.1,0.1,0.05,1,1,1,0.0
all-to-all,sin,0.3,0.1,0.3,0.0,2,2,5,0.4
all-to-all,sin,0.3,0.1,0.3,0.05,2,2,6,0.4
all-to-all,sin,0.3,0.1,0.6,0.0,4,3,9,1.0
all-to-all,sin,0.3,0.1,0.6,0.05,5,3,8,1.0
all-to-all,sin,0.3,0.5,0.1,0.0,3,3,8,1.0
all-to-all,sin,0.3,0.5,0.1,0.05,3,3,8,1.0
all-to-all,sin,0.3,0.5,0.3,0.0,8,6,10,1.0
all-to-all,sin,0.3,0.5,0.3,0.05,8,6,10,1.0
all-to-all,sin,0.3,0.5,0.6,0.0,10,7,10,1.0
all-to-all,sin,0.3,0.5,0.6,0.05,9,7,10,1.0
all-to-all,sin,0.5,0.1,0.1,0.0,1,1,1,0.0
all-to-all,sin,0.5,0.1,0.1,0.05,1,1,1,0.0
all-to-all,sin,0.5,0.1,0.3,0.0,1,1,2,0.0
all-to-all,sin,0.5,0.1,0.3,0.05,1,1,2,0.0
all-to-all,sin,0.5,0.1,0.6,0.0,2,2,6,0.4
all-to-all,sin,0.5,0.1,0.6,0.05,2,2,6,0.4
all-to-all,sin,0.5,0.5,0.1,0.0,2,2,5,0.4
all-to-all,sin,0.5,0.5,0.1,0.05,2,2,5,0.4
all-to-all,sin,0.5,0.5,0.3,0.0,5,4,9,1.0
all-to-all,sin,0.5,0.5,0.3,0.05,6,4,10,1.0
all-to-all,sin,0.5,0.5,0.6,0.0,9,6,10,1.0
all-to-all,sin,0.5,0.5,0.6,0.05,9,6,10,1.0
all-to-all,sin,1.0,0.1,0.1,0.0,1,1,1,0.0
all-to-all,sin,1.0,0.1,0.1,0.05,1,1,1,0.0
all-to-all,sin,1.0,0.1,0.3,0.0,1,1,1,0.0
all-to-all,sin,1.0,0.1,0.3,0.05,1,1,1,0.0
all-to-all,sin,1.0,0.1,0.6,0.0,1,1,2,0.0
all-to-all,sin,1.0,0.1,0.6,0.05,1,1,2,0.0
all-to-all,sin,1.0,0.5,0.1,0.0,1,1,2,0.0
all-to-all,sin,1.0,0.5,0.1,0.05,1,1,2,0.0
all-to-all,sin,1.0,0.5,0.3,0.0,3,3,8,1.0
all-to-all,sin,1.0,0.5,0.3,0.05,3,3,8,1.0
all-to-all,sin,1.0,0.5,0.6,0.0,5,4,10,1.0
all-to-all,sin,1.0,0.5,0.6,0.05,6,4,10,1.0
all-to-all,sin,2.0,0.1,0.1,0.0,1,1,1,0.0
all-to-all,sin,2.0,0.1,0.1,0.05,1,1,1,0.0
all-to-all,sin,2.0,0.1,0.3,0.0,1,1,1,0.0
all-to-all,sin,2.0,0.1,0.3,0.05,1,1,1,0.0
all-to-all,sin,2.0,0.1,0.6,0.0,1,1,1,0.0
all-to-all,sin,2.0,0.1,0.6,0.05,1,1,1,0.0
all-to-all,sin,2.0,0.5,0.1,0.0,1,1,1,0.0
all-to-all,sin,2.0,0.5,0.1,0.05,1,1,1,0.0
all-to-all,sin,2.0,0.5,0.3,0.0,2,2,2,0.0
all-to-all,sin,2.0,0.5,0.3,0.05,2,2,2,0.0
all-to-all,sin,2.0,0.5,0.6,0.0,3,3,8,1.0
all-to-all,sin,2.0,0.5,0.6,0.05,3,3,8,1.0
all-to-all,sin,4.0,0.1,0.1,0.0,1,1,1,0.0
all-to-all,sin,4.0,0.1,0.1,0.05,1,1,1,0.0
all-to-all,sin,4.0,0.1,0.3,0.0,1,1,1,0.0
all-to-all,sin,4.0,0.1,0.3,0.05,1,1,1,0.0
all-to-all,sin,4.0,0.1,0.6,0.0,1,1,1,0.0
all-to-all,sin,4.0,0.1,0.6,0.05,1,1,1,0.0
all-to-all,sin,4.0,0.5,0.1,0.0,1,1,1,0.0
all-to-all,sin,4.0,0.5,0.1,0.05,1,1,1,0.0
all-to-all,sin,4.0,0.5,0.3,0.0,1,1,1,0.0
all-to-all,sin,4.0,0.5,0.3,0.05,1,1,1,0.0
all-to-all,sin,4.0,0.5,0.6,0.0,2,2,2,0.0
all-to-all,sin,4.0,0.5,0.6,0.05,2,2,2,0.0
all-to-all,phase,0.1,0.1,0.1,0.0,4,4,8,1.0
all-to-all,phase,0.1,0.1,0.1,0.05,5,4,8,1.0
all-to-all,phase,0.1,0.1,0.3,0.0,7,7,9,1.0
