K,dt,omega_mean_hz,omega_std_frac,eta,n_pcs_median,n_pcs_mean,n_pcs_min,n_pcs_max,pass_rate
-8.0,0.02,0.25,0.3,0.0,1.0,1.4,1,2,0.0
-8.0,0.02,0.25,0.3,0.05,1.0,1.4,1,2,0.0
-8.0,0.02,0.25,0.3,0.1,1.0,1.4,1,2,0.0
-8.0,0.02,0.25,0.6,0.0,2.0,1.6,1,2,0.0
-8.0,0.02,0.25,0.6,0.05,2.0,1.6,1,2,0.0
-8.0,0.02,0.25,0.6,0.1,2.0,1.6,1,2,0.0
-8.0,0.02,0.25,0.9,0.0,2.0,1.8,1,2,0.0
-8.0,0.02,0.25,0.9,0.05,2.0,1.8,1,2,0.0
-8.0,0.02,0.25,0.9,0.1,2.0,1.8,1,2,0.0
-8.0,0.02,0.5,0.3,0.0,2.0,1.6,1,2,0.0
-8.0,0.02,0.5,0.3,0.05,2.0,1.6,1,2,0.0
-8.0,0.02,0.5,0.3,0.1,2.0,1.6,1,2,0.0
-8.0,0.02,0.5,0.6,0.0,2.0,2.0,2,2,0.0
-8.0,0.02,0.5,0.6,0.05,2.0,2.0,2,2,0.0
-8.0,0.02,0.5,0.6,0.1,2.0,2.0,2,2,0.0
-8.0,0.02,0.5,0.9,0.0,2.0,2.4,2,4,0.2
-8.0,0.02,0.5,0.9,0.05,2.0,2.4,2,4,0.2
-8.0,0.02,0.5,0.9,0.1,2.0,2.4,2,4,0.2
-8.0,0.02,1.0,0.3,0.0,2.0,2.0,2,2,0.0
-8.0,0.02,1.0,0.3,0.05,2.0,2.0,2,2,0.0
-8.0,0.02,1.0,0.3,0.1,2.0,2.0,2,2,0.0
-8.0,0.02,1.0,0.6,0.0,2.0,2.8,2,4,0.4
-8.0,0.02,1.0,0.6,0.05,2.0,2.8,2,4,0.4
-8.0,0.02,1.0,0.6,0.1,2.0,2.8,2,4,0.4
-8.0,0.02,1.0,0.9,0.0,4.0,4.2,2,6,0.8
-8.0,0.02,1.0,0.9,0.05,4.0,4.2,2,6,0.8
-8.0,0.02,1.0,0.9,0.1,4.0,4.4,2,7,0.8
-8.0,0.05,0.25,0.3,0.0,1.0,1.4,1,2,0.0
-8.0,0.05,0.25,0.3,0.05,1.0,1.4,1,2,0.0
-8.0,0.05,0.25,0.3,0.1,1.0,1.4,1,2,0.0
-8.0,0.05,0.25,0.6,0.0,2.0,1.6,1,2,0.0
-8.0,0.05,0.25,0.6,0.05,2.0,1.6,1,2,0.0
-8.0,0.05,0.25,0.6,0.1,2.0,1.6,1,2,0.0
-8.0,0.05,0.25,0.9,0.0,2.0,1.8,1,2,0.0
-8.0,0.05,0.25,0.9,0.05,2.0,1.8,1,2,0.0
-8.0,0.05,0.25,0.9,0.1,2.0,1.8,1,2,0.0
-8.0,0.05,0.5,0.3,0.0,2.0,1.6,1,2,0.0
-8.0,0.05,0.5,0.3,0.05,2.0,1.6,1,2,0.0
-8.0,0.05,0.5,0.3,0.1,2.0,1.6,1,2,0.0
-8.0,0.05,0.5,0.6,0.0,2.0,2.0,2,2,0.0
-8.0,0.05,0.5,0.6,0.05,2.0,2.0,2,2,0.0
-8.0,0.05,0.5,0.6,0.1,2.0,2.0,2,2,0.0
