M,T,I,n_pcs_95,r
5,500,0,2,0.9135742309776289
5,500,1,2,0.905013172375752
5,500,2,1,0.9878638482389379
5,500,3,2,0.8715693833929293
5,500,4,2,0.9184571331437248
5,500,5,3,0.620689359420377
5,500,6,2,0.8608292491560983
5,500,7,2,0.9522536271051129
5,500,8,2,0.8544021820843993
5,500,9,1,0.9915889221688978
5,1000,0,4,0.4820442675482388
5,1000,1,2,0.9118057579935462
5,1000,2,2,0.806035201763185
5,1000,3,2,0.8022603464941633
5,1000,4,2,0.9522905048043737
5,1000,5,2,0.9640374426715215
5,1000,6,1,0.9782606551449643
5,1000,7,2,0.9583974830768865
5,1000,8,2,0.9396836675256522
5,1000,9,2,0.9403921422712463
5,2000,0,3,0.5936979385990023
5,2000,1,2,0.9654487747391997
5,2000,2,3,0.6771163892649499
5,2000,3,2,0.9364037382763977
5,2000,4,2,0.9089820318529274
5,2000,5,2,0.969798647113788
5,2000,6,1,0.9833707418471686
5,2000,7,2,0.9420302280118273
5,2000,8,3,0.5163376318856079
5,2000,9,2,0.8253338831525002
10,500,0,5,0.4727092356982172
10,500,1,4,0.5199487415363147
10,500,2,5,0.4036062259529186
10,500,3,4,0.4622851932446186
10,500,4,5,0.4142898522985883
10,500,5,3,0.5642092053144638
10,500,6,4,0.46102373260333135
10,500,7,4,0.5060909827115374
10,500,8,2,0.7980430805511425
10,500,9,3,0.4938547983473108
10,1000,0,3,0.616982094608896
10,1000,1,4,0.3832786857310395
10,1000,2,4,0.5359486220412689
10,1000,3,5,0.5086976822573702
10,1000,4,4,0.41616331237020354
10,1000,5,5,0.39631338659620313
10,1000,6,4,0.5576558224200568
10,1000,7,3,0.7555509860328109
10,1000,8,2,0.8623505786203173
10,1000,9,5,0.4052537989200791
10,2000,0,2,0.7000582467839114
10,2000,1,5,0.5075468356025693
10,2000,2,7,0.3600322715977442
10,2000,3,3,0.5663143533354389
10,2000,4,2,0.7936925557364173
10,2000,5,5,0.5553563033521535
10,2000,6,3,0.6409001998980406
10,2000,7,4,0.6292146055494587
10,2000,8,4,0.4915321746643521
10,2000,9,6,0.4045266765562715
20,500,0,7,0.32653410948742617
20,500,1,8,0.30041372358389085
20,500,2,8,0.27755570146822994
20,500,3,10,0.3389131284935915
20,500,4,7,0.2677073199678913
20,500,5,7,0.4159115969952094
20,500,6,2,0.47929159499581986
20,500,7,7,0.3475081298202018
20,500,8,6,0.42123741045852137
20,500,9,7,0.32958780034726554
20,1000,0,8,0.3893116741745209
20,1000,1,6,0.1642610604057483
20,1000,2,6,0.4348098390221112
20,1000,3,8,0.32637519036695173
20,1000,4,9,0.3302810336888511
20,1000,5,8,0.3133743211416882
20,1000,6,6,0.4308879584464713
20,1000,7,7,0.3413605295927226
20,1000,8,5,0.48679239659080076
20,1000,9,8,0.4068036526434285
20,2000,0,6,0.4740351637514101
20,2000,1,4,0.22795363218788606
20,2000,2,9,0.3087115617593778
20,2000,3,7,0.3841355781679104
20,2000,4,9,0.32843134991080186
20,2000,5,8,0.3161175130877289
20,2000,6,8,0.2848141688208251
20,2000,7,7,0.3407713206137987
20,2000,8,5,0.385741966047409
20,2000,9,6,0.5170931873001825
